항목명,코드,코드의미 및 단위
가구일련번호,,
가구원일련번호,,
만나이,,
성별,,
,1,남
,2,여
가구주와의 관계,,
,1,가구주
,2,배우자
,3,미혼자녀
,4,기혼자녀 및 그 배우자
,5,손자녀 및 그 배우자
,6,부모(배우자쪽 포함)
,7,조부모(배우자쪽 포함)
,8,미혼 형제.자매
,9,기타 친.인척
,10,기타 동거인
교육정도,,
,0,무학
,1,초등학교
,2,중학교
,3,고등학교
,4,대학(4년제 미만)
,5,대학교(4년제 이상)
,6,대학원 석사과정
,7,대학원 박사 과정
수학여부,,
,1,졸업
,2,재학
,3,수료
,4,휴학
,5,중퇴
혼인상태,,
,1,미혼
,2,배우자 있음
,3,사별
,4,이혼
,5,별거
혼인신고 여부,,
,1,혼인신고 하였다
,2,혼인신고 하지 않았다
주관적 만족감,,
,1,매우만족
,2,약간만족
,3,보통
,4,약간불만족
,5,매우불만족
성취에 대한 만족도,,
,1,매우만족
,2,약간만족
,3,보통
,4,약간불만족
,5,매우불만족
장애인 복지카드 소유 여부,,
,1,가지고 있다
,2,가지고 있지 않다
생활여건의 변화[전반적인 생활여건],,
,1,매우 좋아짐
,2,약간 좋아짐
,3,변화 없음
,4,약간 나빠짐
,5,매우 나빠짐
생활여건의 변화[보건 의료 서비스],,생활여건의 변화[전반적인 생활여건] 코드 참고
생활여건의 변화[사회보장제도],,생활여건의 변화[전반적인 생활여건] 코드 참고
생활여건의 변화[문화·여가 생활 향유 여건],,생활여건의 변화[전반적인 생활여건] 코드 참고
사회보험료 부담에 대한 인식[건강보험 납부여부],,
,1,납부한다
,2,납부하지 않는다
사회보험료 부담에 대한 인식[건강보험 부담정도],,
,1,매우 부담된다
,2,약간 부담된다
,3,보통이다
,4,별로 부담되지 않는다
,5,전혀 부담되지 않는다
사회보험료 부담에 대한 인식[국민연금 납부여부],,사회보험료 부담에 대한 인식[건강보험 납부여부] 코드 참고
사회보험료 부담에 대한 인식[국민연금 부담정도],,사회보험료 부담에 대한 인식[건강보험 부담정도] 코드 참고
사회보험료 부담에 대한 인식[고용보험 납부여부],,사회보험료 부담에 대한 인식[건강보험 납부여부] 코드 참고
사회보험료 부담에 대한 인식[고용보험 부담정도],,사회보험료 부담에 대한 인식[건강보험 부담정도] 코드 참고
향후 늘려야 할 공공시설[1순위],,
,1,국공립 어린이집 및 유치원
,2,"공원, 녹지, 산책로"
,3,"보건의료시설(공공병원, 보건소 등)"
,4,사회복지시설(장애인·노인복지시설 등)
,5,공영주차시설
,6,문화예술회관(시민회관 등)
,7,도서관
,8,체육시설 및 경기장
,9,기타(   )
향후 늘려야 할 공공시설[2순위],,향후 늘려야 할 공공시설[1순위] 코드 참고
항후 늘려야 할 공공시설[3순위],,향후 늘려야 할 공공시설[1순위] 코드 참고
향후 늘려야 할 복지서비스[1순위],,
,1,고용(취업) 지원 서비스
,2,소득 지원 서비스
,3,주거 관련 서비스
,4,안전 관련 서비스
,5,보건의료·건강관리 서비스
,6,보육 및 교육 관련 서비스
,7,여가·문화 향유 지원 서비스
,8,기타 (   )
향후 늘려야 할 복지서비스[2순위],,향후 늘려야 할 복지서비스[1순위] 코드 참고
향후 늘려야 할 복지서비스[3순위],,향후 늘려야 할 복지서비스[1순위] 코드 참고
선호 장례 방법,,
,1,매장(묘지)
,2,"화장 후 봉안(납골당, 납골묘 등)"
,3,"화장 후 자연장(수목장, 잔디장 등)"
,4,기타(  )
장애인과의 유대관계 여부 및 대상,,
,1,있다
,2,없다
장애인과의 유대관계 여부 및 대상[대상[1순위]],,
,1,가족
,2,친척
,3,직장 동료
,4,"친구, 이웃"
,5,"동호회(동아리, 모임 등)"
,6,기타
장애인과의 유대관계 여부 및 대상[대상[2순위]],,장애인과의 유대관계 여부 및 대상[대상[1순위]] 코드 참고
장애인과의 유대관계 여부 및 대상[대상[3순위]],,장애인과의 유대관계 여부 및 대상[대상[1순위]] 코드 참고
사회의 장애인 차별 정도,,
,1,전혀 차별하지 않는다
,2,별로 차별하지 않는다
,3,조금 차별한다
,4,많이 차별한다
장애인 관련 시설,,
,1,전혀반대하지 않음
,2,반대하지 않음
,3,약간 반대
,4,매우 반대
장애인 복지사업,,
,1,계속확대하여야 한다
,2,재원이 허락한다면 확대하여야 한다
,3,충분하다
,4,잘 모르겠다
우선적으로 실시해야 할 장애인 복지사업[1순위],,
,1,연금·수당 지원 서비스
,2,보육·교육 지원 서비스
,3,의료 및 재활 지원 서비스
,4,생활 서비스
,5,일자리 및 자립자금 지원 서비스
,6,각종 요금 할인·감면 및 세제 혜택 서비스
,7,문화·예술 행사 참여 지원 서비스
,8,장애인을 이해하고 포용하는 사회 분위기 조성
,9,기타(    )
우선적으로 실시해야 할 장애인 복지사업[2순위],,우선적으로 실시해야 할 장애인 복지사업[1순위] 코드 참고
우선적으로 실시해야 할 장애인 복지사업[3순위],,우선적으로 실시해야 할 장애인 복지사업[1순위] 코드 참고
본인의 노후 준비방법[준비여부],,
,1,준비하고(되어) 있다
,2,준비하고(되어) 있지 않다
노후 준비방법_주된 것,,
,1,국민연금
,2,"기타 공적 연금(공무원, 군인, 교원)"
,3,"사적 연금(은행, 보험회사 등을 통한 개인연금)"
,4,"퇴직급여(퇴직금, 퇴직연금)"
,5,"예금, 적금, 저축성 보험"
,6,부동산 운용
,7,"주식, 채권 등"
,8,기타(    )
노후 준비방법_부수적인 것,,노후 준비방법_주된 것 코드 참고
노후 준비방법_노후준비하고 있지 않은 이유,,
,1,아직 생각하고 있지 않다
,2,앞으로 준비할 계획이다
,3,준비할 능력이 없다
,4,자녀에게 의탁한다
,5,기타
노후를 위한 사회적 관심사,,
,1,노후 소득 지원
,2,노후 취업 지원
,3,요양 보호 서비스
,4,문화·여가 복지 서비스
,5,세대 간 이해 증진을 위한 교육 및 홍보
,6,교통 및 주거 환경 조성
,7,기타(   )
노후를 보내고 싶은 방법,,
,1,취미 활동
,2,학습 및 자아 개발 활동
,3,자원봉사 활동
,4,종교 활동
,5,소득 창출 활동
,6,기타(   )
생활비 마련 방법,,
,1,본인과 배우자 부담
,2,자녀 또는 친척 지원
,3,정부 및 사회단체 지원(정부 보조 등)
,4,기타(    )
생활비 마련방법(본인 및 배우자 부담),,
,1,근로소득 및 사업소득
,2,"재산소득(이자, 임대소득, 배당소득 등)"
,3,"연금(개인연금 포함), 퇴직급여"
,4,예금(적금)
,5,기타(    )
자녀 유무,,
,1,있다
,2,없다
현재 자녀와 동거 여부,,
,1,같이 살고 있다
,2,같이 살고 있지 않다
현재 자녀와 동거 이유[1순위],,
,1,"본인의 독립생활(수입, 건강 등)이 불가능하므로"
,2,자녀의 독립생활이 불가능하므로(경제적·건강상이유로)
,3,손자·손녀의 양육 및 자녀의 기타 가사를 돕기 위해
,4,모두 독립생활이 가능하지만 같이 살고 싶어서
,5,자녀가 학생 또는 미성년자이므로
,6,기타(    )
현재 자녀와 동거 이유[2순위],,현재 자녀와 동거 이유[1순위] 코드 참고
현재 자녀와 동거 이유[3순위],,현재 자녀와 동거 이유[1순위] 코드 참고
현재 자녀와 동거하지 않는 이유[1순위],,
,1,"독립생활(수입, 건강 등)이 가능하므로"
,2,자녀에게 부담이 될까 봐
,3,따로 사는 것이 편해서
,4,"자녀의 직장, 학업 때문에"
,5,"자녀(며느리, 사위포함)와의 관계가 불편하여"
,6,기타(    )
현재 자녀와 동거하지 않는 이유[2순위],,현재 자녀와 동거하지 않는 이유[1순위] 코드 참고
현재 자녀와 동거하지 않는 이유[3순위],,현재 자녀와 동거하지 않는 이유[1순위] 코드 참고
향후 자녀와 동거 의향,1,같이 살고 싶다
,1,같이 살고 싶다
,2,같이 살고 싶지 않다
향후 살고 싶은 곳,,
,1,자기집
,2,양로·요양 시설
,3,기타(    )
개인적 인간관계 만족도,,
,1,매우만족
,2,약간만족
,3,보통
,4,약간불만족
,5,매우불만족
신뢰,,
,1,매우 믿을 수 있다
,2,약간 믿을 수 있다
,3,별로 믿을 수 없다
,4,전혀 믿을 수 없다
사회적 관계망[몸이 아파 집안일을 부탁해야 할 경우],,
,1,있다
,2,없다
사회적 관계망[몸이 아파 집안일을 부탁해야 할 경우]_명수,,
사회적 관계망[갑자기 많은 돈을 빌려야 할 경우],,
,1,있다
,2,없다
사회적 관계망[갑자기 많은 돈을 빌려야 할 경우]_명수,,
사회적 관계망[이야기 상대가 필요한 경우],,
,1,있다
,2,없다
사회적 관계망[이야기 상대가 필요한 경우]_명수,,
사회적 관계망-교류[가족 또는 친척],,
,1,있다
,2,없다
사회적 관계망-교류[가족 또는 친척]_명수,,
사회적 관계망-교류[가족 또는 친척 외],,
,1,있다
,2,없다
사회적 관계망-교류[가족 또는 친척 외]_명수,,
단체참여[친목 및 사교단체],,
,1,있다
,2,없다
단체참여[종교 단체],,단체참여[친목 및 사교단체] 코드 참고
"단체참여[취미, 스포츠 및 여가 활동 단체]",,단체참여[친목 및 사교단체] 코드 참고
단체참여[시민 사회단체],,단체참여[친목 및 사교단체] 코드 참고
단체참여[학술 단체],,단체참여[친목 및 사교단체] 코드 참고
단체참여[이익 단체],,단체참여[친목 및 사교단체] 코드 참고
단체참여[정치 단체],,단체참여[친목 및 사교단체] 코드 참고
단체참여[지역 사회 모임],,단체참여[친목 및 사교단체] 코드 참고
단체참여[기타],,단체참여[친목 및 사교단체] 코드 참고
기부여부,,
,1,기부한적 있음
,2,기부한적 없음
기부종류,,
,1,현금만 기부
,2,물품만 기부
,3,현금과 물품 모두 기부
기부하지 않은 이유,,
,1,경제적 여유가 없어서
,2,기부에 대한 관심이 없어서
,3,기부 방법을 몰라서
,4,기부 단체 등을 신뢰할 수 없어서
,5,직접적인 요청을 받은 적이 없어서
,6,기타(     )
기부내용[대상자에게 직접 후원-현금횟수],,
기부내용[대상자에게 직접 후원-현금금액],,
기부내용[대상자에게 직접 후원-현금주기],,
,1,월단위
,2,분기(3개월)단위
,3,반기(6개월)단위
,4,기타(    )
,5,주기적으로 기부한 적 없다
기부내용[언론기관을 통한 후원-현금횟수],,
기부내용[언론기관을 통한 후원-현금금액],,
기부내용[언론기관을 통한 후원-현금주기],,기부내용[대상자에게 직접 후원-현금주기] 코드 참고
기부내용[모금단체를 통한 후원-현금횟수],,
기부내용[모금단체를 통한 후원-현금금액],,
기부내용[모금단체를 통한 후원-현금주기],,기부내용[대상자에게 직접 후원-현금주기] 코드 참고
기부내용[종교단체를 통한 후원-현금횟수],,
기부내용[종교단체를 통한 후원-현금금액],,
기부내용[종교단체를 통한 후원-현금주기],,기부내용[대상자에게 직접 후원-현금주기] 코드 참고
기부내용[직장(기업)을 통한 후원-현금횟수],,
기부내용[직장(기업)을 통한 후원-현금금액],,
기부내용[직장(기업)을 통한 후원-현금주기],,기부내용[대상자에게 직접 후원-현금주기] 코드 참고
기부내용[기타-현금횟수],,
기부내용[기타-현금금액],,
기부내용[기타-현금주기],,기부내용[대상자에게 직접 후원-현금주기] 코드 참고
기부내용_물품횟수,,
기부내용_물품주기,,기부내용[대상자에게 직접 후원-현금주기] 코드 참고
기부 희망 분야[1순위],,
,1,사회복지 분야
,2,의료 분야
,3,해외 구호 활동 분야
,4,지역사회 발전 분야(지역도서관 건립 등)
,5,공익 활동 분야(환경운동 등)
,6,교육 및 연구 활동 분야(학교 등)
,7,문화 및 예술 분야
,8,기타(    )
기부 희망 분야[2순위],,기부 희망 분야[1순위] 코드 참고
기부 희망 분야[3순위],,기부 희망 분야[1순위] 코드 참고
기부 문화 확산[1순위],,
,1,사회 지도층과 부유층의 모범적 기부 확대
,2,"나눔 교육, 대중 캠페인 등을 통한 나눔에 대한 인식 개선"
,3,기부 단체의 자금 운영 투명성 강화
,4,소득공제 확대 등 정부 지원 강화
,5,기부 방법의 편리성 증대
,6,"경조금 기부, 유산 기부 등 다양한 기부 방법 홍보"
,7,기타(    )
기부 문화 확산[2순위],,기부 문화 확산[1순위] 코드 참고
기부 문화 확산[3순위],,기부 문화 확산[1순위] 코드 참고
향후 기부 의사,,
,1,있다
,2,없다
유산 기부 의사,,
,1,있다
,2,없다
자원봉사활동 여부,,
,1,자원봉사 활동을 한 적이 있다
,2,자원봉사 활동을 한 적이 없다
"아동, 청소년, 노인, 장애인, 재소자 등과 관련-횟수",,
"아동, 청소년, 노인, 장애인, 재소자 등과 관련-시간",,
"아동, 청소년, 노인, 장애인, 재소자 등과 관련-주기",,
,1,주 단위
,2,월 단위
,3,분기(3개월) 단위
,4,반기(6개월) 단위
,5,기타
,6,주기적으로 하지 않았다
"환경 보전, 범죄 예방 등과 관련-횟수",,
"환경 보전, 범죄 예방 등과 관련-시간",,
"환경 보전, 범죄 예방 등과 관련-주기",,"아동, 청소년, 노인, 장애인, 재소자 등과 관련-주기 코드 참고"
자녀 교육 등과 관련-횟수,,
자녀 교육 등과 관련-시간,,
자녀 교육 등과 관련-주기,,"아동, 청소년, 노인, 장애인, 재소자 등과 관련-주기 코드 참고"
국가 및 지역 행사 등과 관련-횟수,,
국가 및 지역 행사 등과 관련-시간,,
국가 및 지역 행사 등과 관련-주기,,"아동, 청소년, 노인, 장애인, 재소자 등과 관련-주기 코드 참고"
재해 지역 주민 돕기 및 시설 복구 등과 관련-횟수,,
재해 지역 주민 돕기 및 시설 복구 등과 관련-시간,,
재해 지역 주민 돕기 및 시설 복구 등과 관련-주기,,"아동, 청소년, 노인, 장애인, 재소자 등과 관련-주기 코드 참고"
기타 일반인을 위한 봉사 관련-횟수,,
기타 일반인을 위한 봉사 관련-시간,,
기타 일반인을 위한 봉사 관련-주기,,"아동, 청소년, 노인, 장애인, 재소자 등과 관련-주기 코드 참고"
전문성을 활용한 자원봉사 활동 여부,,
,1,있다
,2,없다
전문성을 활용한 자원봉사 활동,,
,1,"이용, 미용"
,2,요리
,3,의료
,4,아동 학습 지도
,5,통역과 번역
,6,공연
,7,평생학습 관련
,8,전문 상담
,9,운전
,10,주택 수리
,11,기타
향후 자원봉사 활동 의사,,
,1,있다
,2,없다
계층의식,,
,11,상상
,12,상하
,21,중상
,22,중하
,31,하상
,32,하하
본인의 계층이동,,
,1,매우 높다
,2,비교적 높다
,3,비교적 낮다
,4,매우 낮다
,5,모르겠다
자식세대의 계층이동,,
,1,매우 높다
,2,비교적 높다
,3,비교적 낮다
,4,매우 낮다
,5,모르겠다
신문[일반신문] 본적있는지 여부,,
,1,있다
,2,없다
신문[일반신문]_보는 분야,,
,1,정치
,2,사회
,3,경제 
,4,문화
,5,스포츠 및 연예
,6,기타
신문[인터넷신문] 본적있는지 여부,,
,1,있다
,2,없다
신문[인터넷신문]_보는 분야,,신문[일반신문]_보는 분야 코드 참고
독서여부,,
,1,있다
,2,없다
"독서권수[잡지류(주간, 월간, 기타)]",,
"독서권수[교양서적(종교, 소설, 시집, 역사, 예술서적 등)]",,
독서권수[직업(직무)과 관련한 서적들)],,
"독서권수[생활·취미·정보서적(육아, 꽃꽃이, 등산, 낚시 서적 등)]",,
"독서권수[기타(만화, 무협지 등)]",,
문화 예술 및 스포츠 관람,,
,1,있다
,2,없다
관람횟수[음악·연주회·콘서트],,
관람횟수[연극·마당극·뮤지컬],,
관람횟수[무용],,
관람횟수[영화],,
관람횟수[박물관(유물 전시회 등 포함)],,
"관람횟수[미술관(공예, 서화, 전시회 포함)]",,
관람횟수[스포츠],,
관람횟수[기타],,
레저시설 이용 횟수,,
,1,있다
,2,없다
"이용횟수[관광명소(유적지, 국립공원 등)]",,
이용횟수[온천장 및 스파],,
이용횟수[골프장],,
이용횟수[스키장 및 스케이트장(눈썰매장 포함)],,
이용횟수[해수욕장],,
이용횟수[산림욕장(휴양림)],,
이용횟수[놀이공원],,
이용횟수[수영장(워터파크 포함)],,
이용횟수[기타],,
국내 관광여행 경험,,
,1,있다
,2,없다
국내 관광여행[숙박여행 횟수],,
국내 관광여행[숙박여행 1회평균 일수],,
국내 관광여행[당일여행 횟수],,
해외여행 경험,,
,1,있다
,2,없다
해외여행 횟수[관광],,
해외여행 횟수[가사(가족·친지 방문 등)],,
해외여행 횟수[업무],,
해외여행 횟수[교육(어학연수 포함)],,
주중의 여가 활용[1순위],,
,1,"TV시청(유선방송, IPTV, DVD(비디오) 시청 등)"
,2,"문화 예술 관람(연극, 영화, 음악연주회, 미술전시회 등)"
,3,"문화 예술 참여(독서 토론, 미술 활동, 악기 연주, 사진 촬영 등)"
,4,스포츠 관람
,5,"스포츠 활동(축구, 테니스, 골프, 당구, 체조, 승마 등)"
,6,"관광(국내·해외 여행, 캠핑 등)"
,7,"컴퓨터 게임, 인터넷 검색 등"
,8,"취미·자기개발 활동(요리, 독서,기술·자격증 취득 공부 등)"
,9,"휴식 활동(수면, 사우나 등)"
,10,"사회 및 기타 활동(봉사 활동, 종교 활동, 사교 활동 등)"
,11,기타(    )
주중의 여가 활용[2순위],,주중의 여가 활용[1순위] 코드 참고
주중의 여가 활용[3순위],,주중의 여가 활용[1순위] 코드 참고
주말(휴일포함)의 여가 활용[1순위],,주중의 여가 활용[1순위] 코드 참고
주말(휴일포함)의 여가 활용[2순위],,주중의 여가 활용[1순위] 코드 참고
주말(휴일포함)의 여가 활용[3순위],,주중의 여가 활용[1순위] 코드 참고
주중에 여가활동을 함께 하는 사람,,
,1,가족과 함께
,2,친구(연인 포함)와 함께
,3,동호회(종교 단체 등 포함) 활동을 통해서
,4,혼자서
,5,직장 동료와 함께 
,6,기타(    )
주말(휴일포함)에 여가활동을 함께 하는 사람,,주중에 여가활동을 함께 하는 사람 코드 참고
여가 활용 만족도,,
,1,매우 만족
,2,약간 만족
,3,보통
,4,약간 불만족
,5,매우 불만족
여가 활용 불만족 이유,,
,1,경제적 부담 때문에
,2,시간이 부족해서
,3,교통 혼잡 및 이용 교통수단이 불편해서
,4,여가 시설이 부족해서
,5,여가 정보 및 프로그램이 부족해서
,6,적당한 취미가 없어서
,7,체력이나 건강이 좋지 않아서
,8,여가를 함께 즐길 사람이 없어서
,9,기타(   )
앞으로 하고 싶은 여가 활동[1순위],,
,1,"TV시청(유선방송, IPTV, DVD(비디오) 시청 등)"
,2,"문화 예술 관람(연극, 영화, 음악연주회, 미술전시회 등)"
,3,"문화 예술 참여(독서 토론, 미술 활동, 악기 연주, 사진 촬영 등)"
,4,스포츠 관람
,5,스포츠 활동
,6,"관광 활동(국내·해외 여행, 캠핑 등)"
,7,"컴퓨터 게임, 인터넷 검색 등"
