항목명,코드,코드의미 및 단위
우선실시장애인복지사업_2순위코드,,우선적으로 실시해야 할 장애인 복지사업[1순위] 코드 참조
우선실시장애인복지사업_3순위코드,,우선적으로 실시해야 할 장애인 복지사업[1순위] 코드 참조
노후준비방법_본인노후준비여부,1,준비하고(되어) 있다
노후준비방법_본인노후준비여부,2,준비하고(되어) 있지 않다
노후준비방법_주된방법코드,1,국민연금
노후준비방법_주된방법코드,2,"기타 공적 연금(공무원, 군인, 교원)"
노후준비방법_주된방법코드,3,"사적 연금(은행, 보험회사 등을 통한 개인연금)"
노후준비방법_주된방법코드,4,"퇴직급여(퇴직금, 퇴직연금)"
노후준비방법_주된방법코드,5,"예금, 적금, 저축성 보험"
노후준비방법_주된방법코드,6,부동산 운용
노후준비방법_주된방법코드,7,"주식, 채권 등"
노후준비방법_주된방법코드,8,기타(    )
노후준비방법_부수적방법코드,,노후 준비방법_주된 것 코드 참조
노후준비방법_노후미준비사유코드,1,아직 생각하고 있지 않다
노후준비방법_노후미준비사유코드,2,앞으로 준비할 계획이다
노후준비방법_노후미준비사유코드,3,준비할 능력이 없다
노후준비방법_노후미준비사유코드,4,자녀에게 의탁한다
노후준비방법_노후미준비사유코드,5,기타
노후사회적관심사코드,1,노후 소득 지원
노후사회적관심사코드,2,노후 취업 지원
노후사회적관심사코드,3,요양 보호 서비스
노후사회적관심사코드,4,문화·여가 복지 서비스
노후사회적관심사코드,5,세대 간 이해 증진을 위한 교육 및 홍보
노후사회적관심사코드,6,교통 및 주거 환경 조성
노후사회적관심사코드,7,기타(   )
노후희망활동코드,1,취미 활동
노후희망활동코드,2,학습 및 자아 개발 활동
노후희망활동코드,3,자원봉사 활동
노후희망활동코드,4,종교 활동
노후희망활동코드,5,소득 창출 활동
노후희망활동코드,6,기타(   )
생활비마련방법코드,1,본인 및 배우자 부담
생활비마련방법코드,2,자녀 또는 친척 지원
생활비마련방법코드,3,정부 및 사회단체(정부 보조 등)
생활비마련방법코드,4,기타(    )
생활비마련방법_본인배우자부담코드,1,근로소득 및 사업소득
생활비마련방법_본인배우자부담코드,2,"재산소득(이자, 임대소득, 배당소득 등)"
생활비마련방법_본인배우자부담코드,3,"연금(개인연금 포함), 퇴직급여"
생활비마련방법_본인배우자부담코드,4,예금(적금)
생활비마련방법_본인배우자부담코드,5,기타(    )
현재자녀동거여부,1,같이 살고 있다
현재자녀동거여부,2,같이 살고 있지 않다
현재자녀동거사유_1순위코드,1,"본인의 독립생활(수입, 건강 등)이 불가능하므로"
현재자녀동거사유_1순위코드,2,자녀의 독립생활이 불가능하므로(경제적·건강상이유로)
현재자녀동거사유_1순위코드,3,손자·손녀의 양육 및 자녀의 기타 가사를 돕기 위해
현재자녀동거사유_1순위코드,4,모두 독립생활이 가능하지만 같이 살고 싶어서
현재자녀동거사유_1순위코드,5,자녀가 학생 또는 미성년자이므로
현재자녀동거사유_1순위코드,6,기타(    )
