원본컬럼(df1),매칭컬럼(df2),유사도,,,,,
근로여건만족도_직장내성희롱방지노력코드,근로여건만족도_직장내성희롱방지노력,94.7368,,,,,기부내용_직장(기업)을통한후원현금횟수
근로여건만족도_직장내폭력방지노력코드,근로여건만족도_직장내폭력방지노력,94.4444,,,,,기부내용_종교단체_물품횟수
기부 문화 확산[1순위],기부문화확산1순위,81.8182,,,,,기부종류
기부 문화 확산[2순위],기부문화확산2순위,81.8182,,,,,기부하지않은이유
기부 문화 확산[3순위],기부문화확산3순위,81.8182,,,,,기부한이유
기부 여부,기부여부,88.8889,,,,,기부희망분야_1순위
기부 희망 분야[1순위],기부희망분야1순위,81.8182,,,,,기부희망분야_2순위
기부 희망 분야[2순위],기부희망분야2순위,81.8182,,,,,기부희망분야_3순위
기부 희망 분야[3순위],기부희망분야3순위,81.8182,,,,,기타일반인을위한봉사관련시간
기부내용[기타-현금금액],기부내용기타현금금액,86.9565,,,,,기타일반인을위한봉사관련주기
기부내용[기타-현금주기],기부내용기타현금주기,86.9565,,,,,기타일반인을위한봉사관련횟수
기부내용[기타-현금횟수],기부내용기타현금횟수,86.9565,,,,,긴축소비지출항목_1순위
기부내용[대상자에게 직접 후원-현금금액],기부내용_대상자에게직접후원현금금액,87.1795,,,,,긴축소비지출항목_2순위
기부내용[대상자에게 직접 후원-현금주기],기부내용_대상자에게직접후원현금주기,87.1795,,,,,긴축소비지출항목_3순위
기부내용[대상자에게 직접 후원-현금횟수],기부내용_대상자에게직접후원현금횟수,87.1795,,,,,내년가구의재정상태
기부내용[모금단체를 통한 후원-현금금액],기부내용_모금단체를통한후원현금금액,87.1795,,,,,노후준비방법_노후미준비사유
기부내용[모금단체를 통한 후원-현금주기],기부내용_모금단체를통한후원현금주기,87.1795,,,,,노후준비방법_부수적인것
기부내용[모금단체를 통한 후원-현금횟수],기부내용_모금단체를통한후원현금횟수,87.1795,,,,,노후준비방법_부수적방법
기부내용[언론기관을 통한 후원-현금금액],기부내용_언론기관을통한후원현금금액,87.1795,,,,,노후를보내고싶은방법
기부내용[언론기관을 통한 후원-현금주기],기부내용_언론기관을통한후원현금주기,87.1795,,,,,노후를위한사회적관심사
기부내용[언론기관을 통한 후원-현금횟수],기부내용_언론기관을통한후원현금횟수,87.1795,,,,,노후를위한사회적역할
기부내용[종교단체를 통한 후원-현금금액],기부내용_종교단체를통한후원현금금액,87.1795,,,,,노후생활주요활동_1순위
기부내용[종교단체를 통한 후원-현금주기],기부내용_종교단체를통한후원현금주기,87.1795,,,,,노후생활주요활동_2순위
기부내용[종교단체를 통한 후원-현금횟수],기부내용_종교단체를통한후원현금횟수,87.1795,,,,,노후생활주요활동_3순위
기부내용[직장(기업)을 통한 후원-현금금액],기부내용_직장(기업)을통한후원현금금액,88.3721,,,,,노후준비방법_본인노후준비여부
기부내용[직장(기업)을 통한 후원-현금주기],기부내용_직장(기업)을통한후원현금주기,88.3721,,,,,노후준비방법_주된방법
기부내용[직장(기업)을 통한 후원-현금횟수],기부내용_직장(기업)을통한후원현금횟수,88.3721,,,,,노후희망활동_1순위
기부내용_기타_물품횟수,기부내용_기타_물품횟수,100,,,,,노후희망활동_2순위
기부내용_기타_현금금액,기부내용_기타_현금금액,100,,,,,노후희망활동_3순위
기부내용_기타_현금횟수,기부내용_기타_현금횟수,100,,,,,노후희망활동
기부내용_대상자직접후원_물품횟수,기부내용_대상자직접후원_물품횟수,100,,,,,다문화가족여부
기부내용_대상자직접후원_현금금액,기부내용_대상자직접후원_현금금액,100,,,,,단체참여_기타여부
기부내용_대상자직접후원_현금횟수,기부내용_대상자직접후원_현금횟수,100,,,,,단체참여_기타_코로나
기부내용_모금단체후원_현금금액,기부내용_모금단체후원_현금금액,100,,,,,단체참여_시민사회단체여부
기부내용_모금단체후원_현금횟수,기부내용_모금단체후원_현금횟수,100,,,,,단체참여시민사회단체_코로나
기부내용_물품주기,기부내용_물품주기,100,,,,,단체참여_이익단체여부
기부내용_물품횟수,기부내용_물품횟수,100,,,,,단체참여_이익단체_코로나
기부내용_물품후원단체후원_물품횟수,기부내용_물품후원단체후원_물품횟수,100,,,,,단체참여_정치단체여부
기부내용_언론기관후원_물품횟수,기부내용_언론기관후원_물품횟수,100,,,,,단체참여_정치단체_코로나
기부내용_언론기관후원_현금금액,기부내용_언론기관후원_현금금액,100,,,,,단체참여_종교단체여부
기부내용_언론기관후원_현금횟수,기부내용_언론기관후원_현금횟수,100,,,,,단체참여_종교단체_코로나
기부내용_종교단체_물품횟수,기부내용_종교단체_물품횟수,100,,,,,단체참여_지역사회모임여부
기부내용_종교단체후원_현금금액,기부내용_종교단체후원_현금금액,100,,,,,단체참여_지역사회모임_코로나
기부내용_종교단체후원_현금횟수,기부내용_종교단체후원_현금횟수,100,,,,,단체참여_취미스포츠여가활동단체여부
기부내용_직장기업후원_물품횟수,기부내용_직장기업후원_물품횟수,100,,,,,단체참여_취미스포츠및여가활동단체_코로나
기부내용_직장기업후원_현금금액,기부내용_직장기업후원_현금금액,100,,,,,단체참여_친목사교단체여부
기부내용_직장기업후원_현금횟수,기부내용_직장기업후원_현금횟수,100,,,,,단체참여_친목및사교단체_코로나
기부대상인지경로코드,기부대상인지경로,88.8889,,,,,단체참여_학술단체여부
기부문화확산_1순위코드,기부문화확산_1순위,90.9091,,,,,단체참여_학술단체_코로나
기부문화확산_2순위코드,기부문화확산_2순위,90.9091,,,,,단체참여여부
기부문화확산_3순위코드,기부문화확산_3순위,90.9091,,,,,독서권수교양서적(종교소설시집역사예술서적등)
기부사유코드,기부사유,80,,,,,독서권수기타(만화무협지등)
기부여부,기부여부,100,,,,,독서권수생활취미정보서적(육아꽃꽃이등산낚시서적등)
기부종류,기부종류,100,,,,,독서권수잡지류(주간월간기타)
기부종류코드,기부종류,80,,,,,독서권수직업(직무)과관련한서적들)
기부하지 않은 이유,기부하지않은이유,88.8889,,,,,독서여부
기부한 이유,기부한이유,90.9091,,,,,레저시설이용횟수
기부희망분야_1순위코드,기부희망분야_1순위,90.9091,,,,,레저시설_이용여부
기부희망분야_2순위코드,기부희망분야_2순위,90.9091,,,,,만나이
기부희망분야_3순위코드,기부희망분야_3순위,90.9091,,,,,문화예술및스포츠관람
기타 일반인을 위한 봉사 관련-시간,기타일반인을위한봉사관련시간,84.8485,,,,,문화예술스포츠관람여부
기타 일반인을 위한 봉사 관련-주기,기타일반인을위한봉사관련주기,84.8485,,,,,배우자지난1주간경제활동여부
기타 일반인을 위한 봉사 관련-횟수,기타일반인을위한봉사관련횟수,84.8485,,,,,본인세대_계층이동
긴축 소비 지출 항목[1순위],긴축소비지출항목_1순위,81.4815,,,,,본인의노후준비방법준비여부
긴축 소비 지출 항목[2순위],긴축소비지출항목_2순위,81.4815,,,,,부채의변화
긴축 소비 지출 항목[3순위],긴축소비지출항목_3순위,81.4815,,,,,부채의변화_코로나
긴축소비지출항목_1순위코드,긴축소비지출항목_1순위,92.3077,,,,,분류코드_가구소득1
긴축소비지출항목_2순위코드,긴축소비지출항목_2순위,92.3077,,,,,분류코드_가구소득2
긴축소비지출항목_3순위코드,긴축소비지출항목_3순위,92.3077,,,,,분류코드_가구소득3
내년 가구의 재정 상태,내년가구의재정상태,85.7143,,,,,분류코드경제활동여부
내년가구재정상태코드,내년가구의재정상태,88.8889,,,,,분류코드경제활동여부2
노후 준비방법_노후준비하고 있지 않은 이유,노후준비방법_노후미준비사유,90.4762,,,,,분류코드계층의식
노후 준비방법_부수적인 것,노후준비방법_부수적인것,92.3077,,,,,분류코드고용안정성
노후 준비방법_주된 것,노후준비방법_부수적방법,90.9091,,,,,분류코드기부여부
노후를 보내고 싶은 방법,노후를보내고싶은방법,86.9565,,,,,분류코드맞벌이여부
노후를 위한 사회적 관심사,노후를위한사회적관심사,88,,,,,분류코드맞벌이여부2
노후를 위한 사회적 역할,노후를위한사회적역할,86.9565,,,,,분류코드물품기부_정기성
노후사회적관심사코드,노후를위한사회적관심사,88.8889,,,,,분류코드물품기부여부
노후사회적역할코드,노후를위한사회적역할,87.5,,,,,분류코드산업별
노후생활주요활동_1순위코드,노후생활주요활동_1순위,92.3077,,,,,분류코드소득만족도
노후생활주요활동_2순위코드,노후생활주요활동_2순위,92.3077,,,,,분류코드연령교육정도별1
노후생활주요활동_3순위코드,노후생활주요활동_3순위,92.3077,,,,,분류코드연령교육정도별2
노후준비방법_노후미준비사유코드,노후준비방법_노후미준비사유,93.3333,,,,,분류코드연령교육정도별3
노후준비방법_본인노후준비여부,노후준비방법_본인노후준비여부,100,,,,,분류코드연령교육정도별4
노후준비방법_부수적방법코드,노후준비방법_부수적방법,92.3077,,,,,분류코드연령교육정도별5
노후준비방법_주된방법코드,노후준비방법_주된방법,91.6667,,,,,분류코드연령교육정도별6
노후희망활동_1순위코드,노후희망활동_1순위,90.9091,,,,,분류코드자원봉사_정기성
노후희망활동_2순위코드,노후희망활동_2순위,90.9091,,,,,분류코드자원봉사여부
노후희망활동_3순위코드,노후희망활동_3순위,90.9091,,,,,분류코드장애인복지카드소유여부
노후희망활동코드,노후희망활동,85.7143,,,,,분류코드종사자지위별
다문화가족여부,다문화가족여부,100,,,,,분류코드주관적소득수준
단체참여[기타],단체참여_기타여부,85.7143,,,,,분류코드주관적만족감
단체참여[기타]_코로나,단체참여_기타_코로나,90.9091,,,,,분류코드직업별
단체참여[시민 사회단체],단체참여_시민사회단체여부,86.9565,,,,,분류코드청소년교육정도1
단체참여[시민 사회단체]_코로나,단체참여시민사회단체_코로나,90.3226,,,,,분류코드청소년교육정도2
단체참여[이익 단체],단체참여_이익단체여부,84.2105,,,,,분류코드현금기부_정기성
단체참여[이익 단체]_코로나,단체참여_이익단체_코로나,88.8889,,,,,분류코드현금기부여부
단체참여[정치 단체],단체참여_정치단체여부,84.2105,,,,,분류코드_가구원수
단체참여[정치 단체]_코로나,단체참여_정치단체_코로나,88.8889,,,,,분류코드_가구원수2
단체참여[종교 단체],단체참여_종교단체여부,84.2105,,,,,분류코드_경제활동여부
단체참여[종교 단체]_코로나,단체참여_종교단체_코로나,88.8889,,,,,분류코드_계층의식
단체참여[지역 사회 모임],단체참여_지역사회모임여부,83.3333,,,,,분류코드_고용안전성여부
단체참여[지역 사회 모임]_코로나,단체참여_지역사회모임_코로나,87.5,,,,,분류코드_고용안정성여부
"단체참여[취미, 스포츠 및 여가 활동 단체]",단체참여_취미스포츠여가활동단체여부,80,,,,,분류코드_교육정도
"단체참여[취미, 스포츠 및 여가 활동 단체]_코로나",단체참여_취미스포츠및여가활동단체_코로나,83.3333,,,,,분류코드_다문화가족여부
단체참여[친목 및 사교단체],단체참여_친목사교단체여부,84.6154,,,,,분류코드_동부읍면부구분
단체참여[친목 및 사교단체]_코로나,단체참여_친목및사교단체_코로나,88.2353,,,,,분류코드_만13세이상
단체참여[학술 단체],단체참여_학술단체여부,84.2105,,,,,분류코드_만15세이상
단체참여[학술 단체]_코로나,단체참여_학술단체_코로나,88.8889,,,,,분류코드_맞벌이1여부
단체참여_기타여부,단체참여_기타여부,100,,,,,분류코드_맞벌이2여부
단체참여_시민사회단체여부,단체참여_시민사회단체여부,100,,,,,분류코드_산업별
단체참여_이익단체여부,단체참여_이익단체여부,100,,,,,분류코드_성별
단체참여_정치단체여부,단체참여_정치단체여부,100,,,,,분류코드_세대구분
단체참여_종교단체여부,단체참여_종교단체여부,100,,,,,분류코드_소득만족도
단체참여_지역사회모임여부,단체참여_지역사회모임여부,100,,,,,분류코드_연령성별1
단체참여_취미스포츠여가활동단체여부,단체참여_취미스포츠여가활동단체여부,100,,,,,분류코드_연령성별10
단체참여_친목사교단체여부,단체참여_친목사교단체여부,100,,,,,분류코드_연령성별11
단체참여_학술단체여부,단체참여_학술단체여부,100,,,,,분류코드_연령성별2
단체참여여부,단체참여여부,100,,,,,분류코드_연령성별3
독서_교양서적권수,독서_교양서적권수,100,,,,,분류코드_연령성별4
독서_기타권수,독서_기타권수,100,,,,,분류코드_연령성별5
독서_생활취미정보서적권수,독서_생활취미정보서적권수,100,,,,,분류코드_연령성별6
독서_잡지류권수,독서_잡지류권수,100,,,,,분류코드_연령성별7
독서_직업직무관련서적권수,독서_직업직무관련서적권수,100,,,,,분류코드_연령성별8
"독서권수[교양서적(종교, 소설, 시집, 역사, 예술서적 등)]",독서권수교양서적(종교소설시집역사예술서적등),80.7018,,,,,분류코드_연령성별9
"독서권수[기타(만화, 무협지 등)]",독서권수기타(만화무협지등),84.8485,,,,,분류코드_연령1
"독서권수[생활·취미·정보서적(육아, 꽃꽃이, 등산, 낚시 서적 등)]",독서권수생활취미정보서적(육아꽃꽃이등산낚시서적등),81.25,,,,,분류코드_연령10
"독서권수[잡지류(주간, 월간, 기타)]",독서권수잡지류(주간월간기타),83.3333,,,,,분류코드_연령11
독서권수[직업(직무)과 관련한 서적들)],독서권수직업(직무)과관련한서적들),90,,,,,분류코드_연령12
독서여부,독서여부,100,,,,,분류코드_연령13
레저시설 이용 횟수,레저시설이용횟수,88.8889,,,,,분류코드_연령14
레저시설_골프장이용횟수,레저시설_골프장이용횟수,100,,,,,분류코드_연령15
레저시설_관광명소유적지국립공원이용횟수,레저시설_관광명소유적지국립공원이용횟수,100,,,,,분류코드_연령16
레저시설_기타이용횟수,레저시설_기타이용횟수,100,,,,,분류코드_연령2
레저시설_놀이공원이용횟수,레저시설_놀이공원이용횟수,100,,,,,분류코드_연령3
레저시설_산림욕장휴양림이용횟수,레저시설_산림욕장휴양림이용횟수,100,,,,,분류코드_연령4
레저시설_수영장워터파크포함이용횟수,레저시설_수영장워터파크포함이용횟수,100,,,,,분류코드_연령5
레저시설_스키장이용횟수,레저시설_스키장이용횟수,100,,,,,분류코드_연령6
레저시설_온천장스파이용횟수,레저시설_온천장스파이용횟수,100,,,,,분류코드_연령7
레저시설_이용여부코드,레저시설_이용여부,90,,,,,분류코드_연령8
레저시설_해수욕장이용횟수,레저시설_해수욕장이용횟수,100,,,,,분류코드_연령9
레저시설이용횟수,레저시설이용횟수,100,,,,,분류코드_연령교육정도1
만나이,만나이,100,,,,,분류코드_연령교육정도2
만연령,만나이,100,,,,,분류코드_연령교육정도3
문화 예술 및 스포츠 관람,문화예술및스포츠관람,83.3333,,,,,분류코드_연령교육정도4
문화예술스포츠관람_기타횟수,관람횟수_기타,100,,,,,분류코드_연령교육정도5
문화예술스포츠관람_무용횟수,관람횟수_무용,100,,,,,분류코드_연령교육정도6
문화예술스포츠관람_미술관횟수,관람횟수_미술관(공예서화전시회포함),100,,,,,분류코드_연령교육정도별7
문화예술스포츠관람_박물관횟수,관람횟수_박물관(유물전시회등포함),100,,,,,분류코드_임금근로자
