원본컬럼(df1),매칭컬럼(df2),유사도,,,,,
분류코드_성별,분류코드_성별,100,,,,,소비생활만족도
분류코드_성별코드,분류코드_성별,87.5,,,,,수학여부
분류코드_세대구분,분류코드_세대구분,100,,,,,승수(가구)_weight
분류코드_세대구분코드,분류코드_세대구분,90,,,,,승수(가구원)_weight
분류코드_소득만족도코드,분류코드_소득만족도,90.9091,,,,,신뢰
분류코드_연령*성별1,분류코드_연령성별1,95.2381,,,,,신문인터넷신문본적있는지여부
분류코드_연령*성별10,분류코드_연령성별10,95.6522,,,,,신문인터넷신문_보는분야
분류코드_연령*성별11,분류코드_연령성별11,95.6522,,,,,신문일반신문본적있는지여부
분류코드_연령*성별2,분류코드_연령성별2,95.2381,,,,,신문일반신문_보는분야
분류코드_연령*성별3,분류코드_연령성별3,95.2381,,,,,신문_인터넷신문구독여부
분류코드_연령*성별4,분류코드_연령성별4,95.2381,,,,,신문_인터넷신문구독주기
분류코드_연령*성별5,분류코드_연령성별5,95.2381,,,,,신문_일반신문구독여부
분류코드_연령*성별6,분류코드_연령성별6,95.2381,,,,,신문_일반신문구독주기
분류코드_연령*성별7,분류코드_연령성별7,95.2381,,,,,아동청소년노인장애인재소자등과관련시간
분류코드_연령*성별8,분류코드_연령성별8,95.2381,,,,,아동청소년노인장애인재소자등과관련주기
분류코드_연령*성별9,분류코드_연령성별9,95.2381,,,,,아동청소년노인장애인재소자등과관련횟수
분류코드_연령1,분류코드_연령1,100,,,,,앞으로하고싶은여가활동1순위
분류코드_연령10,분류코드_연령10,100,,,,,앞으로하고싶은여가활동2순위
분류코드_연령10코드,분류코드_연령10,90,,,,,앞으로하고싶은여가활동3순위
분류코드_연령11,분류코드_연령11,100,,,,,여가활용_만족도
분류코드_연령11코드,분류코드_연령11,90,,,,,여가활용_불만족사유
분류코드_연령12,분류코드_연령12,100,,,,,여가활동_동반자
분류코드_연령12코드,분류코드_연령12,90,,,,,여성취업시기
분류코드_연령13,분류코드_연령13,100,,,,,여성취업장애요인_1순위
분류코드_연령13코드,분류코드_연령13,90,,,,,여성취업장애요인_2순위
분류코드_연령14,분류코드_연령14,100,,,,,여성취업장애요인_3순위
분류코드_연령14코드,분류코드_연령14,90,,,,,여성취업에대한견해
분류코드_연령15코드,분류코드_연령15,90,,,,,우선실시장애인복지사업_1순위
분류코드_연령16코드,분류코드_연령16,90,,,,,우선실시장애인복지사업_2순위
분류코드_연령1코드,분류코드_연령1,88.8889,,,,,우선실시장애인복지사업_3순위
분류코드_연령2,분류코드_연령2,100,,,,,원격수업
분류코드_연령2코드,분류코드_연령2,88.8889,,,,,원격수업_효과성
분류코드_연령3,분류코드_연령3,100,,,,,원격수업이효과적이지않은이유1순위
분류코드_연령3코드,분류코드_연령3,88.8889,,,,,원격수업이효과적이지않은이유2순위
분류코드_연령4,분류코드_연령4,100,,,,,원격수업이효과적이지않은이유3순위
분류코드_연령4코드,분류코드_연령4,88.8889,,,,,일가정생활우선도
분류코드_연령5,분류코드_연령5,100,,,,,일가정양립제도인지도_가족돌봄휴직제인지여부
분류코드_연령5코드,분류코드_연령5,88.8889,,,,,일가정양립제도인지도_배우자출산휴가제인지여부
분류코드_연령6,분류코드_연령6,100,,,,,일가정양립제도인지도_유연근무제인지여부
분류코드_연령6코드,분류코드_연령6,88.8889,,,,,일가정양립제도인지도_육아기근로시간단축제인지여부
분류코드_연령7,분류코드_연령7,100,,,,,일가정양립제도인지도_육아휴직제인지여부
분류코드_연령7코드,분류코드_연령7,88.8889,,,,,일가정양립제도인지도_직장보육지원인지여부
분류코드_연령8,분류코드_연령8,100,,,,,일가정양립제도인지도_출산전후휴가제인지여부
분류코드_연령8코드,분류코드_연령8,88.8889,,,,,임금근로자유형
분류코드_연령9,분류코드_연령9,100,,,,,자녀교육등과관련시간
분류코드_연령9코드,분류코드_연령9,88.8889,,,,,자녀교육등과관련주기
분류코드_연령교육정도1코드,분류코드_연령교육정도1,92.3077,,,,,자녀교육등과관련횟수
분류코드_연령교육정도2코드,분류코드_연령교육정도2,92.3077,,,,,자녀유무
분류코드_연령교육정도3코드,분류코드_연령교육정도3,92.3077,,,,,자식세대_계층이동
분류코드_연령교육정도4코드,분류코드_연령교육정도4,92.3077,,,,,자신의방역수칙준수
분류코드_연령교육정도5코드,분류코드_연령교육정도5,92.3077,,,,,자원봉사활동여부
분류코드_연령교육정도6코드,분류코드_연령교육정도6,92.3077,,,,,자원봉사활동참여사유
분류코드_연령교육정도별7코드,분류코드_연령교육정도별7,92.8571,,,,,자원봉사활동미참여사유
분류코드_연령성별10코드,분류코드_연령성별10,91.6667,,,,,자원봉사활동인지경로
분류코드_연령성별11코드,분류코드_연령성별11,91.6667,,,,,자원봉사활동정기성여부
분류코드_연령성별1코드,분류코드_연령성별1,90.9091,,,,,자원봉사활동정기성주기
분류코드_연령성별2코드,분류코드_연령성별2,90.9091,,,,,자원봉사활동주기성여부
분류코드_연령성별3코드,분류코드_연령성별3,90.9091,,,,,자원봉사활동주기성
분류코드_연령성별4코드,분류코드_연령성별4,90.9091,,,,,장애구분인지여부
분류코드_연령성별5코드,분류코드_연령성별5,90.9091,,,,,장애인관련시설
분류코드_연령성별6코드,분류코드_연령성별6,90.9091,,,,,장애인복지사업
분류코드_연령성별7코드,분류코드_연령성별7,90.9091,,,,,장애인복지카드_소유여부
분류코드_연령성별8코드,분류코드_연령성별8,90.9091,,,,,장애인견해
분류코드_연령성별9코드,분류코드_연령성별9,90.9091,,,,,장애인과의유대관계여부및대상
분류코드_임금근로자,분류코드_임금근로자,100,,,,,장애인과의유대관계여부및대상대상1순위
분류코드_임금근로자구분코드,분류코드_임금근로자구분,92.3077,,,,,장애인과의유대관계여부및대상대상2순위
분류코드_자원봉사여부,분류코드_자원봉사여부,100,,,,,장애인과의유대관계여부및대상대상3순위
분류코드_자원봉사정기성여부,분류코드_자원봉사정기성여부,100,,,,,장애인관련시설견해
분류코드_장애인복지카드_소유여부,분류코드_장애인복지카드_소유여부,100,,,,,장애인복지사업견해
분류코드_장애인복지카드소유여부,분류코드_장애인복지카드소유여부,100,,,,,장애인유대관계대상_1순위
분류코드_점유형태,분류코드_점유형태,100,,,,,장애인유대관계대상_2순위
분류코드_점유형태1코드,분류코드_점유형태1,90.9091,,,,,장애인유대관계대상_3순위
분류코드_점유형태2,분류코드_점유형태2,100,,,,,장애인유대관계여부
분류코드_점유형태2코드,분류코드_점유형태2,90.9091,,,,,재택근무
분류코드_종사자지위코드,분류코드_종사자지위,90.9091,,,,,재택근무_코로나
분류코드_주관적만족감코드,분류코드_주관적만족감,91.6667,,,,,재택근무_효율성
분류코드_주관적소득수준코드,분류코드_주관적소득수준,92.3077,,,,,재택근무가비효율적인이유1순위
분류코드_주택형태,분류코드_주택형태,100,,,,,재택근무가비효율적인이유2순위
분류코드_주택형태1코드,분류코드_주택형태1,90.9091,,,,,재택근무가비효율적인이유3순위
분류코드_주택형태2,분류코드_주택형태2,100,,,,,재학상태
분류코드_주택형태2코드,분류코드_주택형태2,90.9091,,,,,재학학년
분류코드_직업대분류코드,분류코드_직업대분류,90.9091,,,,,재해지역주민돕기및시설복구등과관련시간
분류코드_직업별코드,분류코드_직업별,88.8889,,,,,재해지역주민돕기및시설복구등과관련주기
분류코드_직장산업대분류코드,분류코드_직장산업대분류,92.3077,,,,,재해지역주민돕기및시설복구등과관련횟수
분류코드_청소년교육정도1코드,분류코드_청소년교육정도코드1,93.3333,,,,,전문성을활용한자원봉사활동
분류코드_청소년교육정도2코드,분류코드_청소년교육정도코드2,93.3333,,,,,전문성을활용한자원봉사활동여부
분류코드_청소년교육정도코드1,분류코드_청소년교육정도코드1,100,,,,,전문성활용자원봉사활동_구분
분류코드_청소년교육정도코드2,분류코드_청소년교육정도코드2,100,,,,,전문성활용자원봉사활동_참석여부
분류코드_현금기부여부,분류코드_현금기부여부,100,,,,,전문성활용자원봉사활동내용
분류코드_현금기부정기성여부,분류코드_현금기부정기성여부,100,,,,,전문성활용자원봉사활동여부
분류코드_혼인상태,분류코드_혼인상태,100,,,,,전반적일자리만족도
분류코드_혼인상태2,분류코드_혼인상태2,100,,,,,점유형태
분류코드_혼인상태2코드,분류코드_혼인상태2,90.9091,,,,,종사상의지위
분류코드_혼인상태코드,분류코드_혼인상태,90,,,,,주관적만족감
사회보험료 부담에 대한 인식[건강보험 납부여부],사회보험료부담인식_건강보험납부여부,86.9565,,,,,주관적만족감_코로나
사회보험료 부담에 대한 인식[건강보험 부담정도],사회보험료부담인식_건강보험부담정도,86.9565,,,,,주관적소득수준
사회보험료 부담에 대한 인식[고용보험 납부여부],사회보험료부담인식_고용보험납부여부,86.9565,,,,,주말여가활동_동반자
사회보험료 부담에 대한 인식[고용보험 부담정도],사회보험료부담인식_고용보험부담정도,86.9565,,,,,주말휴일여가활용_1순위
사회보험료 부담에 대한 인식[국민연금 납부여부],사회보험료부담인식_국민연금납부여부,86.9565,,,,,주말휴일여가활용_2순위
사회보험료 부담에 대한 인식[국민연금 부담정도],사회보험료부담인식_국민연금부담정도,86.9565,,,,,주말휴일여가활용_3순위
사회보험료부담인식_건강보험납부여부,사회보험료부담인식_건강보험납부여부,100,,,,,주중여가활동_동반자
사회보험료부담인식_건강보험부담정도코드,사회보험료부담인식_건강보험부담정도,94.7368,,,,,주중여가활용_1순위
사회보험료부담인식_고용보험납부여부,사회보험료부담인식_고용보험납부여부,100,,,,,주중여가활용_2순위
사회보험료부담인식_고용보험부담정도코드,사회보험료부담인식_고용보험부담정도,94.7368,,,,,주중여가활용_3순위
사회보험료부담인식_국민연금납부여부,사회보험료부담인식_국민연금납부여부,100,,,,,지난1주간경제활동상태
사회보험료부담인식_국민연금부담정도코드,사회보험료부담인식_국민연금부담정도,94.7368,,,,,지난1주간경제활동상태_코로나
사회의 장애인 차별 정도,사회장애인차별정도,86.9565,,,,,지난1주간경제활동여부
사회장애인차별정도코드,사회장애인차별정도,90,,,,,직업선택요인_1순위
사회적 관계망 변화[가족 외 친인척],사회적관계망변화가족외친인척,82.3529,,,,,직업선택요인_2순위
사회적 관계망 변화[가족],사회적관계망변화가족,83.3333,,,,,직업선택요인_3순위
사회적 관계망 변화[그 밖의 알고 지내는 사람],사회적관계망변화그밖의알고지내는사람,81.8182,,,,,직업대분류
사회적 관계망 변화[동료(직장이나 학교)],사회적관계망변화동료(직장이나학교),87.8049,,,,,직업
사회적 관계망 변화[이웃],사회적관계망변화이웃,83.3333,,,,,직장산업대분류
사회적 관계망 변화[절친한 친구],사회적관계망변화절친한친구,83.871,,,,,참여단체_1순위
사회적 관계망 변화[종교 단체 구성원],사회적관계망변화종교단체구성원,83.3333,,,,,참여단체_2순위
사회적 관계망 변화[취미 활동 단체 회원],사회적관계망변화취미활동단체회원,82.0513,,,,,참여단체_3순위
사회적 관계망-교류[가족 또는 친척 외],사회적관계망_교류가족친척외유무,81.0811,,,,,청년이선호하는직장
사회적 관계망-교류[가족 또는 친척 외]_명수,사회적관계망교류가족또는친척외_명수,83.7209,,,,,코로나19일상생활변화마스크착용손씻기등방역위생활동강화_변화가지속될가능성에대한견해
사회적 관계망-교류[가족 또는 친척],사회적관계망_교류가족친척유무,82.3529,,,,,코로나19일상생활변화마스크착용손씻기등방역위생활동강화_변화에대한견해
사회적 관계망-교류[가족 또는 친척]_명수,사회적관계망교류가족또는친척_명수,85,,,,,코로나19일상생활변화배달배송을통한소비활동증가_변화가지속될가능성에대한견해
사회적 관계망1[몸이 아파 집안일을 부탁해야 할 경우],사회적관계망몸이아파집안일을부탁해야할경우,84.6154,,,,,코로나19일상생활변화배달배송을통한소비활동증가_변화에대한견해
사회적 관계망[갑자기 많은 돈을 빌려야 할 경우],사회적관계망갑자기많은돈을빌려야할경우,82.6087,,,,,코로나19일상생활변화온라인학습의확산_변화가지속될가능성에대한견해
사회적 관계망[갑자기 많은 돈을 빌려야 할 경우]_명수,사회적관계망갑자기많은돈을빌려야할경우_명수,84.6154,,,,,코로나19일상생활변화온라인학습의확산_변화에대한견해
사회적 관계망[갑자기 큰 돈을 빌려야 할 경우],사회적관계망갑자기큰돈을빌려야할경우,81.8182,,,,,코로나19일상생활변화재택근무원격근무유연근무제의확산_변화가지속될가능성에대한견해
사회적 관계망[낙심하거나 우울해서 이야기 상대가 필요한 경우],사회적관계망낙심하거나우울해서이야기상대가필요한경우,86.6667,,,,,코로나19일상생활변화재택근무원격근무유연근무제의확산_변화에대한견해
사회적 관계망[몸이 아파 집안일을 부탁해야 할 경우],사회적관계망몸이아파집안일을부탁해야할경우,84,,,,,코로나19일상생활변화직장에서의단체회식감소_변화가지속될가능성에대한견해
사회적 관계망[몸이 아파 집안일을 부탁해야 할 경우]_명수,사회적관계망몸이아파집안일을부탁해야할경우_명수,85.7143,,,,,코로나19일상생활변화직장에서의단체회식감소_변화에대한견해
사회적 관계망[이야기 상대가 필요한 경우],사회적관계망이야기상대가필요한경우,85,,,,,코로나19일상생활변화집에서즐기는여가취미생활문화발달_변화가지속될가능성에대한견해
사회적 관계망[이야기 상대가 필요한 경우]_명수,사회적관계망이야기상대가필요한경우_명수,86.9565,,,,,코로나19일상생활변화집에서즐기는여가취미생활문화발달_변화에대한견해
사회적관계망_가사도움요청대상유무,사회적관계망_가사도움요청대상유무,100,,,,,코로나19일상생활변화친목사교목적의모임감소_변화가지속될가능성에대한견해
사회적관계망_가사도움요청대상인원수,사회적관계망_가사도움요청대상인원수,100,,,,,코로나19일상생활변화친목사교목적의모임감소_변화에대한견해
사회적관계망_교류가족친척외유무,사회적관계망_교류가족친척외유무,100,,,,,타인의방역수칙준수
사회적관계망_교류가족친척유무,사회적관계망_교류가족친척유무,100,,,,,향후추가대상공공시설_3순위
사회적관계망_대화상대도움요청대상유무,사회적관계망_대화상대도움요청대상유무,100,,,,,해외여행경험
사회적관계망_대화상대도움요청대상인원수,사회적관계망_대화상대도움요청대상인원수,100,,,,,해외여행경험_코로나
사회적관계망_자금차입도움요청대상유무,사회적관계망_자금차입도움요청대상유무,100,,,,,행정구역(시도)
사회적관계망_자금차입도움요청대상인원수,사회적관계망_자금차입도움요청대상인원수,100,,,,,향후기부의사
산업코드,산업,66.6667,,,,,향후추가대상공공시설_1순위
생활비 마련 방법,생활비마련방법,87.5,,,,,향후추가대상공공시설_2순위
생활비 마련방법(본인 및 배우자 부담),생활비마련방법_본인및배우자부담,89.4737,,,,,향후추가대상복지서비스_1순위
생활비마련방법_본인및배우자부담코드,생활비마련방법_본인및배우자부담,94.1176,,,,,향후추가대상복지서비스_2순위
생활비마련방법_본인배우자부담코드,생활비마련방법_본인및배우자부담,93.75,,,,,향후추가대상복지서비스_3순위
생활비마련방법_지원자녀친척동거여부,생활비마련방법_지원자녀친척동거여부,100,,,,,향후희망거처
생활비마련방법코드,생활비마련방법,87.5,,,,,향후자녀와동거의향
생활여건변화_문화여가생활여건코드,생활여건변화_문화여가생활여건,93.75,,,,,향후자원봉사활동의사
생활여건변화_보건의료서비스코드,생활여건변화_보건의료서비스,93.3333,,,,,향후기부의사여부
생활여건변화_사회보장제도코드,생활여건변화_사회보장제도,92.8571,,,,,향후자녀동거의향여부
생활여건변화_전반적생활여건코드,생활여건변화_전반적생활여건,93.3333,,,,,향후자원봉사활동의사여부
생활여건의 변화[문화·여가 생활 향유 여건],생활여건변화_문화여가생활여건,82.9268,,,,,향후희망여가활동_1순위
생활여건의 변화[문화·여가 생활 향유 여건]_코로나,생활여건의변화문화여가생활향유여건_코로나,85.7143,,,,,향후희망여가활동_2순위
생활여건의 변화[보건 의료 서비스],생활여건변화_보건의료서비스,84.8485,,,,,향후희망여가활동_3순위
생활여건의 변화[보건 의료 서비스]_코로나,생활여건의변화보건의료서비스_코로나,87.8049,,,,,현금기부_주기성여부
생활여건의 변화[사회보장제도],생활여건변화_사회보장제도,89.6552,,,,,현재소득여부
생활여건의 변화[사회보장제도]_코로나,생활여건의변화사회보장제도_코로나,91.8919,,,,,현재자녀와동거여부
생활여건의 변화[전반적인 생활여건],생활여건의변화전반적인생활여건,88.2353,,,,,현재자녀동거사유_1순위
생활여건의 변화[전반적인 생활여건]_코로나,생활여건의변화전반적인생활여건_코로나,90.4762,,,,,현재자녀동거사유_2순위
선호 장례 방법,선호장례방법,85.7143,,,,,현재자녀동거사유_3순위
선호장례방법코드,선호장례방법,85.7143,,,,,현재자녀비동거사유_1순위
성별,성별,100,,,,,현재자녀비동거사유_2순위
성별코드,성별,66.6667,,,,,현재자녀비동거사유_3순위
성취만족도코드,성취만족도,83.3333,,,,,현재자녀동거여부
성취에 대한 만족도,성취만족도,88.8889,,,,,혼인상태
소득 만족도,소득만족도,90.9091,,,,,혼인신고여부
소득만족도코드,소득만족도,83.3333,,,,,환경보전범죄예방등과관련시간
소득변화코드,소득변화,80,,,,,환경보전범죄예방등과관련주기
소득의 변화,소득변화,90.9091,,,,,환경보전범죄예방등과관련횟수
소득의 변화_코로나,소득의변화_코로나,94.7368,,,,,활동제약상태(계단을오르는데어려움)_어려움정도
소비 생활 변화,소비생활변화,85.7143,,,,,활동제약상태(계단을오르는데어려움)_지속예상기간
소비생활 만족도,소비생활만족도,93.3333,,,,,활동제약상태(기억하거나집중하는데어려움)_어려움정도
소비생활만족도코드,소비생활만족도,87.5,,,,,활동제약상태(기억하거나집중하는데어려움)_지속예상기간
수학여부,수학여부,100,,,,,활동제약상태(보청기를사용해도듣는데어려움)_어려움정도
승수(가구)_weight,승수(가구)_weight,100,,,,,활동제약상태(보청기를사용해도듣는데어려움)_지속예상기간
승수(가구원)_weight,승수(가구원)_weight,100,,,,,활동제약상태(스스로자기관리활동을하는데어려움)_어려움정도
신뢰,신뢰,100,,,,,활동제약상태(스스로자기관리활동을하는데어려움)_지속예상기간
신뢰코드,신뢰,66.6667,,,,,활동제약상태(안경을써도보는데어려움)_어려움정도
신문[인터넷신문] 본적있는지 여부,신문인터넷신문본적있는지여부,87.5,,,,,활동제약상태(안경을써도보는데어려움)_지속예상기간
신문[인터넷신문]_보는 분야,신문인터넷신문_보는분야,88.8889,,,,,활동제약상태(일상생활에서말을하거나듣고이해하는데어려움)_어려움정도
신문[일반신문] 본적있는지 여부,신문일반신문본적있는지여부,86.6667,,,,,활동제약상태(일상생활에서말을하거나듣고이해하는데어려움)_지속예상기간
신문[일반신문]_보는 분야,신문일반신문_보는분야,88,,,,,
신문_인터넷신문구독여부,신문_인터넷신문구독여부,100,,,,,
신문_인터넷신문구독주기코드,신문_인터넷신문구독주기,92.3077,,,,,
신문_일반신문구독여부,신문_일반신문구독여부,100,,,,,
신문_일반신문구독주기코드,신문_일반신문구독주기,91.6667,,,,,
"아동, 청소년, 노인, 장애인, 재소자 등과 관련-시간",아동청소년노인장애인재소자등과관련시간,77.551,,,,,
"아동, 청소년, 노인, 장애인, 재소자 등과 관련-주기",아동청소년노인장애인재소자등과관련주기,77.551,,,,,
"아동, 청소년, 노인, 장애인, 재소자 등과 관련-횟수",아동청소년노인장애인재소자등과관련횟수,77.551,,,,,
앞으로 하고 싶은 여가 활동[1순위],앞으로하고싶은여가활동1순위,82.3529,,,,,
앞으로 하고 싶은 여가 활동[2순위],앞으로하고싶은여가활동2순위,82.3529,,,,,
앞으로 하고 싶은 여가 활동[3순위],앞으로하고싶은여가활동3순위,82.3529,,,,,
여가 활용 만족도,여가활용_만족도,87.5,,,,,
여가 활용 불만족 이유,여가활용_불만족사유,85.7143,,,,,
여가활동_동반자코드,여가활동_동반자,88.8889,,,,,
여가활용_만족도코드,여가활용_만족도,88.8889,,,,,
여가활용_불만족사유코드,여가활용_불만족사유,90.9091,,,,,
여가활용만족도코드,여가활용_만족도,87.5,,,,,
여성 취업 시기,여성취업시기,85.7143,,,,,
여성 취업 장애 요인[1순위],여성취업장애요인_1순위,81.4815,,,,,
여성 취업 장애 요인[2순위],여성취업장애요인_2순위,81.4815,,,,,
여성 취업 장애 요인[3순위],여성취업장애요인_3순위,81.4815,,,,,
여성 취업에 대한 견해,여성취업에대한견해,85.7143,,,,,
여성취업견해코드,여성취업에대한견해,85.7143,,,,,
여성취업시기코드,여성취업시기,85.7143,,,,,
여성취업장애요인_1순위코드,여성취업장애요인_1순위,92.3077,,,,,
여성취업장애요인_2순위코드,여성취업장애요인_2순위,92.3077,,,,,
여성취업장애요인_3순위코드,여성취업장애요인_3순위,92.3077,,,,,
우선실시장애인복지사업_1순위코드,우선실시장애인복지사업_1순위,93.75,,,,,
우선실시장애인복지사업_2순위코드,우선실시장애인복지사업_2순위,93.75,,,,,
우선실시장애인복지사업_3순위코드,우선실시장애인복지사업_3순위,93.75,,,,,
우선적으로 실시해야 할 장애인 복지사업[1순위],우선실시장애인복지사업_1순위,86.9565,,,,,
우선적으로 실시해야 할 장애인 복지사업[2순위],우선실시장애인복지사업_2순위,86.9565,,,,,
우선적으로 실시해야 할 장애인 복지사업[3순위],우선실시장애인복지사업_3순위,86.9565,,,,,
원격 수업,원격수업,88.8889,,,,,
원격 수업_효과성,원격수업_효과성,94.1176,,,,,
원격 수업이 효과적이지 않은 이유[1순위],원격수업이효과적이지않은이유1순위,85,,,,,
원격 수업이 효과적이지 않은 이유[2순위],원격수업이효과적이지않은이유2순위,85,,,,,
원격 수업이 효과적이지 않은 이유[3순위],원격수업이효과적이지않은이유3순위,85,,,,,
유산 기부 의사,유산기부의사여부,85.7143,,,,,
유산기부의사여부,유산기부의사여부,100,,,,,
이용횟수[골프장],레저시설_골프장이용횟수,87.5,,,,,
"이용횟수[관광명소(유적지, 국립공원 등)]",레저시설_관광명소유적지국립공원이용횟수,87.8049,,,,,
이용횟수[기타],레저시설_기타이용횟수,85.7143,,,,,
이용횟수[놀이공원],레저시설_놀이공원이용횟수,88.8889,,,,,
이용횟수[산림욕장(휴양림)],레저시설_산림욕장휴양림이용횟수,92.8571,,,,,
이용횟수[수영장(워터파크 포함)],레저시설_수영장워터파크포함이용횟수,90.9091,,,,,
이용횟수[스키장 및 스케이트장(눈썰매장 포함)],레저시설_스키장이용횟수,89.3617,,,,,
이용횟수[온천장 및 스파],레저시설_온천장스파이용횟수,83.3333,,,,,
이용횟수[해수욕장],레저시설_해수욕장이용횟수,88.8889,,,,,
일가정생활우선도코드,일가정생활우선도,88.8889,,,,,
일가정양립제도인지도_가족돌봄휴직제인지여부,일가정양립제도인지도_가족돌봄휴직제인지여부,100,,,,,
일가정양립제도인지도_배우자출산휴가제인지여부,일가정양립제도인지도_배우자출산휴가제인지여부,100,,,,,
일가정양립제도인지도_유연근무제인지여부,일가정양립제도인지도_유연근무제인지여부,100,,,,,
일가정양립제도인지도_육아기근로시간단축제인지여부,일가정양립제도인지도_육아기근로시간단축제인지여부,100,,,,,
일가정양립제도인지도_육아휴직제인지여부,일가정양립제도인지도_육아휴직제인지여부,100,,,,,
일가정양립제도인지도_직장보육지원인지여부,일가정양립제도인지도_직장보육지원인지여부,100,,,,,
일가정양립제도인지도_출산전후휴가제인지여부,일가정양립제도인지도_출산전후휴가제인지여부,100,,,,,
일과 가정생활의 우선도,일가정생활우선도,90.9091,,,,,
임금근로자 유형,임금근로자유형,93.3333,,,,,
임금근로자구분코드,임금근로자유형,87.5,,,,,
자녀 교육 등과 관련-시간,자녀교육등과관련시간,83.3333,,,,,
자녀 교육 등과 관련-주기,자녀교육등과관련주기,83.3333,,,,,
자녀 교육 등과 관련-횟수,자녀교육등과관련횟수,83.3333,,,,,
자녀 유무,자녀유무,88.8889,,,,,
자녀유무,자녀유무,100,,,,,
자식세대_계층이동코드,자식세대_계층이동,90,,,,,
자식세대계층이동코드,자식세대_계층이동,88.8889,,,,,
자식세대의 계층이동,자식세대_계층이동,94.7368,,,,,
자신의 방역 수칙 준수,자신의방역수칙준수,85.7143,,,,,
자원봉사_아동청소년노인장애인재소자관련시간수,자원봉사_아동청소년노인장애인재소자관련시간수,100,,,,,
자원봉사_아동청소년노인장애인재소자관련횟수,자원봉사_아동청소년노인장애인재소자관련횟수,100,,,,,
자원봉사활동 여부,자원봉사활동여부,94.1176,,,,,
자원봉사활동 참여 이유,자원봉사활동참여사유,90.9091,,,,,
자원봉사활동 참여하지 않은 이유,자원봉사활동미참여사유,90.3226,,,,,
자원봉사활동_국가지역행사관련시간수,자원봉사활동_국가지역행사관련시간수,100,,,,,
자원봉사활동_국가지역행사관련횟수,자원봉사활동_국가지역행사관련횟수,100,,,,,
자원봉사활동_기타일반봉사관련시간수,자원봉사활동_기타일반봉사관련시간수,100,,,,,
자원봉사활동_기타일반봉사관련횟수,자원봉사활동_기타일반봉사관련횟수,100,,,,,
자원봉사활동_자녀교육관련시간수,자원봉사활동_자녀교육관련시간수,100,,,,,
자원봉사활동_자녀교육관련횟수,자원봉사활동_자녀교육관련횟수,100,,,,,
자원봉사활동_재해지역주민돕기시설복구관련시간수,자원봉사활동_재해지역주민돕기시설복구관련시간수,100,,,,,
자원봉사활동_재해지역주민돕기시설복구관련횟수,자원봉사활동_재해지역주민돕기시설복구관련횟수,100,,,,,
자원봉사활동_환경보전범죄예방관련시간수,자원봉사활동_환경보전범죄예방관련시간수,100,,,,,
자원봉사활동_환경보전범죄예방관련횟수,자원봉사활동_환경보전범죄예방관련횟수,100,,,,,
자원봉사활동미참여사유코드,자원봉사활동미참여사유,91.6667,,,,,
자원봉사활동여부,자원봉사활동여부,100,,,,,
자원봉사활동인지경로코드,자원봉사활동인지경로,90.9091,,,,,
자원봉사활동정기성여부,자원봉사활동정기성여부,100,,,,,
자원봉사활동정기성주기코드,자원봉사활동정기성주기,91.6667,,,,,
자원봉사활동주기성여부,자원봉사활동주기성여부,100,,,,,
자원봉사활동주기성코드,자원봉사활동주기성,90,,,,,
자원봉사활동참여사유코드,자원봉사활동참여사유,90.9091,,,,,
장애구분인지여부,장애구분인지여부,100,,,,,
장애인 관련 시설,장애인관련시설,87.5,,,,,
장애인 복지사업,장애인복지사업,93.3333,,,,,
장애인 복지카드 소유 여부,장애인복지카드_소유여부,88,,,,,
장애인견해코드,장애인견해,83.3333,,,,,
장애인과의 유대관계 여부 및 대상,장애인과의유대관계여부및대상,87.5,,,,,
장애인과의 유대관계 여부 및 대상[대상[1순위]],장애인과의유대관계여부및대상대상1순위,82.6087,,,,,
장애인과의 유대관계 여부 및 대상[대상[2순위]],장애인과의유대관계여부및대상대상2순위,82.6087,,,,,
장애인과의 유대관계 여부 및 대상[대상[3순위]],장애인과의유대관계여부및대상대상3순위,82.6087,,,,,
장애인관련시설견해코드,장애인관련시설견해,90,,,,,
장애인복지사업견해코드,장애인복지사업견해,90,,,,,
장애인복지카드_소유여부,장애인복지카드_소유여부,100,,,,,
장애인복지카드소유여부,장애인복지카드_소유여부,100,,,,,
장애인유대관계대상_1순위코드,장애인유대관계대상_1순위,92.8571,,,,,
장애인유대관계대상_2순위코드,장애인유대관계대상_2순위,92.8571,,,,,
장애인유대관계대상_3순위코드,장애인유대관계대상_3순위,92.8571,,,,,
장애인유대관계여부,장애인유대관계여부,100,,,,,
재택근무,재택근무,100,,,,,
재택근무_코로나,재택근무_코로나,100,,,,,
재택근무_효율성,재택근무_효율성,100,,,,,
재택근무가 비효율적인 이유[1순위],재택근무가비효율적인이유1순위,88.2353,,,,,
재택근무가 비효율적인 이유[2순위],재택근무가비효율적인이유2순위,88.2353,,,,,
재택근무가 비효율적인 이유[3순위],재택근무가비효율적인이유3순위,88.2353,,,,,
재학상태코드,재학상태,80,,,,,
재학학년코드,재학학년,80,,,,,
재해 지역 주민 돕기 및 시설 복구 등과 관련-시간,재해지역주민돕기및시설복구등과관련시간,80.8511,,,,,
재해 지역 주민 돕기 및 시설 복구 등과 관련-주기,재해지역주민돕기및시설복구등과관련주기,80.8511,,,,,
