항목명,코드,코드의미 및 단위
가구일련번호,,
가구원일련번호,,
만나이,,
성별,1,남
성별,2,여
가구주와의 관계,1,가구주
가구주와의 관계,2,배우자
가구주와의 관계,3,미혼자녀
가구주와의 관계,4,기혼자녀 및 그 배우자
가구주와의 관계,5,손자녀 및 그 배우자
가구주와의 관계,6,부모(배우자쪽 포함)
가구주와의 관계,7,조부모(배우자쪽 포함)
가구주와의 관계,8,미혼 형제.자매
가구주와의 관계,9,기타 친.인척
가구주와의 관계,10,기타 동거인
교육정도,0,무학
교육정도,1,초등학교
교육정도,2,중학교
교육정도,3,고등학교
교육정도,4,대학(4년제 미만)
교육정도,5,대학교(4년제 이상)
교육정도,6,대학원 석사과정
교육정도,7,대학원 박사 과정
수학여부,1,졸업
수학여부,2,재학
수학여부,3,수료
수학여부,4,휴학
수학여부,5,중퇴
혼인상태,1,미혼
혼인상태,2,배우자 있음
혼인상태,3,사별
혼인상태,4,이혼
혼인상태,5,별거
혼인신고 여부,1,혼인신고 하였다
혼인신고 여부,2,혼인신고 하지 않았다
주관적 만족감,1,매우만족
주관적 만족감,2,약간만족
주관적 만족감,3,보통
주관적 만족감,4,약간불만족
주관적 만족감,5,매우불만족
성취에 대한 만족도,1,매우만족
성취에 대한 만족도,2,약간만족
성취에 대한 만족도,3,보통
성취에 대한 만족도,4,약간불만족
성취에 대한 만족도,5,매우불만족
장애인 복지카드 소유 여부,1,가지고 있다
장애인 복지카드 소유 여부,2,가지고 있지 않다
생활여건의 변화[전반적인 생활여건],1,매우 좋아짐
생활여건의 변화[전반적인 생활여건],2,약간 좋아짐
생활여건의 변화[전반적인 생활여건],3,변화 없음
생활여건의 변화[전반적인 생활여건],4,약간 나빠짐
생활여건의 변화[전반적인 생활여건],5,매우 나빠짐
생활여건의 변화[보건 의료 서비스],,생활여건의 변화[전반적인 생활여건] 코드 참고
생활여건의 변화[사회보장제도],,생활여건의 변화[전반적인 생활여건] 코드 참고
생활여건의 변화[문화·여가 생활 향유 여건],,생활여건의 변화[전반적인 생활여건] 코드 참고
사회보험료 부담에 대한 인식[건강보험 납부여부],1,납부한다
사회보험료 부담에 대한 인식[건강보험 납부여부],2,납부하지 않는다
사회보험료 부담에 대한 인식[건강보험 부담정도],1,매우 부담된다
사회보험료 부담에 대한 인식[건강보험 부담정도],2,약간 부담된다
사회보험료 부담에 대한 인식[건강보험 부담정도],3,보통이다
사회보험료 부담에 대한 인식[건강보험 부담정도],4,별로 부담되지 않는다
사회보험료 부담에 대한 인식[건강보험 부담정도],5,전혀 부담되지 않는다
사회보험료 부담에 대한 인식[국민연금 납부여부],,사회보험료 부담에 대한 인식[건강보험 납부여부] 코드 참고
사회보험료 부담에 대한 인식[국민연금 부담정도],,사회보험료 부담에 대한 인식[건강보험 부담정도] 코드 참고
사회보험료 부담에 대한 인식[고용보험 납부여부],,사회보험료 부담에 대한 인식[건강보험 납부여부] 코드 참고
사회보험료 부담에 대한 인식[고용보험 부담정도],,사회보험료 부담에 대한 인식[건강보험 부담정도] 코드 참고
향후 늘려야 할 공공시설[1순위],1,국공립 어린이집 및 유치원
향후 늘려야 할 공공시설[1순위],2,"공원, 녹지, 산책로"
향후 늘려야 할 공공시설[1순위],3,"보건의료시설(공공병원, 보건소 등)"
향후 늘려야 할 공공시설[1순위],4,사회복지시설(장애인·노인복지시설 등)
향후 늘려야 할 공공시설[1순위],5,공영주차시설
향후 늘려야 할 공공시설[1순위],6,문화예술회관(시민회관 등)
향후 늘려야 할 공공시설[1순위],7,도서관
향후 늘려야 할 공공시설[1순위],8,체육시설 및 경기장
향후 늘려야 할 공공시설[1순위],9,기타(   )
향후 늘려야 할 공공시설[2순위],,향후 늘려야 할 공공시설[1순위] 코드 참고
항후 늘려야 할 공공시설[3순위],,향후 늘려야 할 공공시설[1순위] 코드 참고
향후 늘려야 할 복지서비스[1순위],1,고용(취업) 지원 서비스
향후 늘려야 할 복지서비스[1순위],2,소득 지원 서비스
향후 늘려야 할 복지서비스[1순위],3,주거 관련 서비스
향후 늘려야 할 복지서비스[1순위],4,안전 관련 서비스
향후 늘려야 할 복지서비스[1순위],5,보건의료·건강관리 서비스
향후 늘려야 할 복지서비스[1순위],6,보육 및 교육 관련 서비스
향후 늘려야 할 복지서비스[1순위],7,여가·문화 향유 지원 서비스
향후 늘려야 할 복지서비스[1순위],8,기타 (   )
향후 늘려야 할 복지서비스[2순위],,향후 늘려야 할 복지서비스[1순위] 코드 참고
향후 늘려야 할 복지서비스[3순위],,향후 늘려야 할 복지서비스[1순위] 코드 참고
선호 장례 방법,1,매장(묘지)
선호 장례 방법,2,"화장 후 봉안(납골당, 납골묘 등)"
선호 장례 방법,3,"화장 후 자연장(수목장, 잔디장 등)"
선호 장례 방법,4,기타(  )
장애인과의 유대관계 여부 및 대상,1,있다
장애인과의 유대관계 여부 및 대상,2,없다
장애인과의 유대관계 여부 및 대상[대상[1순위]],1,가족
장애인과의 유대관계 여부 및 대상[대상[1순위]],2,친척
장애인과의 유대관계 여부 및 대상[대상[1순위]],3,직장 동료
장애인과의 유대관계 여부 및 대상[대상[1순위]],4,"친구, 이웃"
장애인과의 유대관계 여부 및 대상[대상[1순위]],5,"동호회(동아리, 모임 등)"
장애인과의 유대관계 여부 및 대상[대상[1순위]],6,기타
장애인과의 유대관계 여부 및 대상[대상[2순위]],,장애인과의 유대관계 여부 및 대상[대상[1순위]] 코드 참고
장애인과의 유대관계 여부 및 대상[대상[3순위]],,장애인과의 유대관계 여부 및 대상[대상[1순위]] 코드 참고
사회의 장애인 차별 정도,1,전혀 차별하지 않는다
사회의 장애인 차별 정도,2,별로 차별하지 않는다
사회의 장애인 차별 정도,3,조금 차별한다
사회의 장애인 차별 정도,4,많이 차별한다
장애인 관련 시설,1,전혀반대하지 않음
장애인 관련 시설,2,반대하지 않음
장애인 관련 시설,3,약간 반대
장애인 관련 시설,4,매우 반대
장애인 복지사업,1,계속확대하여야 한다
장애인 복지사업,2,재원이 허락한다면 확대하여야 한다
장애인 복지사업,3,충분하다
장애인 복지사업,4,잘 모르겠다
우선적으로 실시해야 할 장애인 복지사업[1순위],1,연금·수당 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[1순위],2,보육·교육 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[1순위],3,의료 및 재활 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[1순위],4,생활 서비스
우선적으로 실시해야 할 장애인 복지사업[1순위],5,일자리 및 자립자금 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[1순위],6,각종 요금 할인·감면 및 세제 혜택 서비스
우선적으로 실시해야 할 장애인 복지사업[1순위],7,문화·예술 행사 참여 지원 서비스
우선적으로 실시해야 할 장애인 복지사업[1순위],8,장애인을 이해하고 포용하는 사회 분위기 조성
우선적으로 실시해야 할 장애인 복지사업[1순위],9,기타(    )
우선적으로 실시해야 할 장애인 복지사업[2순위],,우선적으로 실시해야 할 장애인 복지사업[1순위] 코드 참고
우선적으로 실시해야 할 장애인 복지사업[3순위],,우선적으로 실시해야 할 장애인 복지사업[1순위] 코드 참고
본인의 노후 준비방법[준비여부],1,준비하고(되어) 있다
본인의 노후 준비방법[준비여부],2,준비하고(되어) 있지 않다
노후 준비방법_주된 것,1,국민연금
노후 준비방법_주된 것,2,"기타 공적 연금(공무원, 군인, 교원)"
노후 준비방법_주된 것,3,"사적 연금(은행, 보험회사 등을 통한 개인연금)"
노후 준비방법_주된 것,4,"퇴직급여(퇴직금, 퇴직연금)"
노후 준비방법_주된 것,5,"예금, 적금, 저축성 보험"
노후 준비방법_주된 것,6,부동산 운용
노후 준비방법_주된 것,7,"주식, 채권 등"
노후 준비방법_주된 것,8,기타(    )
노후 준비방법_부수적인 것,,노후 준비방법_주된 것 코드 참고
노후 준비방법_노후준비하고 있지 않은 이유,1,아직 생각하고 있지 않다
노후 준비방법_노후준비하고 있지 않은 이유,2,앞으로 준비할 계획이다
노후 준비방법_노후준비하고 있지 않은 이유,3,준비할 능력이 없다
노후 준비방법_노후준비하고 있지 않은 이유,4,자녀에게 의탁한다
노후 준비방법_노후준비하고 있지 않은 이유,5,기타
노후를 위한 사회적 관심사,1,노후 소득 지원
노후를 위한 사회적 관심사,2,노후 취업 지원
노후를 위한 사회적 관심사,3,요양 보호 서비스
노후를 위한 사회적 관심사,4,문화·여가 복지 서비스
노후를 위한 사회적 관심사,5,세대 간 이해 증진을 위한 교육 및 홍보
노후를 위한 사회적 관심사,6,교통 및 주거 환경 조성
노후를 위한 사회적 관심사,7,기타(   )
노후를 보내고 싶은 방법,1,취미 활동
노후를 보내고 싶은 방법,2,학습 및 자아 개발 활동
노후를 보내고 싶은 방법,3,자원봉사 활동
노후를 보내고 싶은 방법,4,종교 활동
노후를 보내고 싶은 방법,5,소득 창출 활동
노후를 보내고 싶은 방법,6,기타(   )
생활비 마련 방법,1,본인과 배우자 부담
생활비 마련 방법,2,자녀 또는 친척 지원
생활비 마련 방법,3,정부 및 사회단체 지원(정부 보조 등)
생활비 마련 방법,4,기타(    )
생활비 마련방법(본인 및 배우자 부담),1,근로소득 및 사업소득
생활비 마련방법(본인 및 배우자 부담),2,"재산소득(이자, 임대소득, 배당소득 등)"
생활비 마련방법(본인 및 배우자 부담),3,"연금(개인연금 포함), 퇴직급여"
생활비 마련방법(본인 및 배우자 부담),4,예금(적금)
생활비 마련방법(본인 및 배우자 부담),5,기타(    )
자녀 유무,1,있다
자녀 유무,2,없다
현재 자녀와 동거 여부,1,같이 살고 있다
현재 자녀와 동거 여부,2,같이 살고 있지 않다
현재 자녀와 동거 이유[1순위],1,"본인의 독립생활(수입, 건강 등)이 불가능하므로"
현재 자녀와 동거 이유[1순위],2,자녀의 독립생활이 불가능하므로(경제적·건강상이유로)
현재 자녀와 동거 이유[1순위],3,손자·손녀의 양육 및 자녀의 기타 가사를 돕기 위해
현재 자녀와 동거 이유[1순위],4,모두 독립생활이 가능하지만 같이 살고 싶어서
현재 자녀와 동거 이유[1순위],5,자녀가 학생 또는 미성년자이므로
현재 자녀와 동거 이유[1순위],6,기타(    )
현재 자녀와 동거 이유[2순위],,현재 자녀와 동거 이유[1순위] 코드 참고
현재 자녀와 동거 이유[3순위],,현재 자녀와 동거 이유[1순위] 코드 참고
현재 자녀와 동거하지 않는 이유[1순위],1,"독립생활(수입, 건강 등)이 가능하므로"
현재 자녀와 동거하지 않는 이유[1순위],2,자녀에게 부담이 될까 봐
현재 자녀와 동거하지 않는 이유[1순위],3,따로 사는 것이 편해서
현재 자녀와 동거하지 않는 이유[1순위],4,"자녀의 직장, 학업 때문에"
현재 자녀와 동거하지 않는 이유[1순위],5,"자녀(며느리, 사위포함)와의 관계가 불편하여"
현재 자녀와 동거하지 않는 이유[1순위],6,기타(    )
현재 자녀와 동거하지 않는 이유[2순위],,현재 자녀와 동거하지 않는 이유[1순위] 코드 참고
현재 자녀와 동거하지 않는 이유[3순위],,현재 자녀와 동거하지 않는 이유[1순위] 코드 참고
향후 자녀와 동거 의향,1,같이 살고 싶다
향후 자녀와 동거 의향,1,같이 살고 싶다
향후 자녀와 동거 의향,2,같이 살고 싶지 않다
향후 살고 싶은 곳,1,자기집
향후 살고 싶은 곳,2,양로·요양 시설
향후 살고 싶은 곳,3,기타(    )
개인적 인간관계 만족도,1,매우만족
개인적 인간관계 만족도,2,약간만족
개인적 인간관계 만족도,3,보통
개인적 인간관계 만족도,4,약간불만족
개인적 인간관계 만족도,5,매우불만족
신뢰,1,매우 믿을 수 있다
신뢰,2,약간 믿을 수 있다
신뢰,3,별로 믿을 수 없다
신뢰,4,전혀 믿을 수 없다
사회적 관계망[몸이 아파 집안일을 부탁해야 할 경우],1,있다
사회적 관계망[몸이 아파 집안일을 부탁해야 할 경우],2,없다
사회적 관계망[몸이 아파 집안일을 부탁해야 할 경우]_명수,,
사회적 관계망[갑자기 많은 돈을 빌려야 할 경우],1,있다
사회적 관계망[갑자기 많은 돈을 빌려야 할 경우],2,없다
사회적 관계망[갑자기 많은 돈을 빌려야 할 경우]_명수,,
사회적 관계망[이야기 상대가 필요한 경우],1,있다
사회적 관계망[이야기 상대가 필요한 경우],2,없다
사회적 관계망[이야기 상대가 필요한 경우]_명수,,
사회적 관계망-교류[가족 또는 친척],1,있다
사회적 관계망-교류[가족 또는 친척],2,없다
사회적 관계망-교류[가족 또는 친척]_명수,,
사회적 관계망-교류[가족 또는 친척 외],1,있다
사회적 관계망-교류[가족 또는 친척 외],2,없다
사회적 관계망-교류[가족 또는 친척 외]_명수,,
단체참여[친목 및 사교단체],1,있다
단체참여[친목 및 사교단체],2,없다
단체참여[종교 단체],,단체참여[친목 및 사교단체] 코드 참고
"단체참여[취미, 스포츠 및 여가 활동 단체]",,단체참여[친목 및 사교단체] 코드 참고
단체참여[시민 사회단체],,단체참여[친목 및 사교단체] 코드 참고
단체참여[학술 단체],,단체참여[친목 및 사교단체] 코드 참고
단체참여[이익 단체],,단체참여[친목 및 사교단체] 코드 참고
단체참여[정치 단체],,단체참여[친목 및 사교단체] 코드 참고
단체참여[지역 사회 모임],,단체참여[친목 및 사교단체] 코드 참고
단체참여[기타],,단체참여[친목 및 사교단체] 코드 참고
기부여부,1,기부한적 있음
기부여부,2,기부한적 없음
기부종류,1,현금만 기부
기부종류,2,물품만 기부
기부종류,3,현금과 물품 모두 기부
기부하지 않은 이유,1,경제적 여유가 없어서
기부하지 않은 이유,2,기부에 대한 관심이 없어서
기부하지 않은 이유,3,기부 방법을 몰라서
기부하지 않은 이유,4,기부 단체 등을 신뢰할 수 없어서
기부하지 않은 이유,5,직접적인 요청을 받은 적이 없어서
기부하지 않은 이유,6,기타(     )
기부내용[대상자에게 직접 후원-현금횟수],,
기부내용[대상자에게 직접 후원-현금금액],,
기부내용[대상자에게 직접 후원-현금주기],1,월단위
기부내용[대상자에게 직접 후원-현금주기],2,분기(3개월)단위
기부내용[대상자에게 직접 후원-현금주기],3,반기(6개월)단위
기부내용[대상자에게 직접 후원-현금주기],4,기타(    )
기부내용[대상자에게 직접 후원-현금주기],5,주기적으로 기부한 적 없다
기부내용[언론기관을 통한 후원-현금횟수],,
기부내용[언론기관을 통한 후원-현금금액],,
기부내용[언론기관을 통한 후원-현금주기],,기부내용[대상자에게 직접 후원-현금주기] 코드 참고
기부내용[모금단체를 통한 후원-현금횟수],,
기부내용[모금단체를 통한 후원-현금금액],,
기부내용[모금단체를 통한 후원-현금주기],,기부내용[대상자에게 직접 후원-현금주기] 코드 참고
기부내용[종교단체를 통한 후원-현금횟수],,
기부내용[종교단체를 통한 후원-현금금액],,
기부내용[종교단체를 통한 후원-현금주기],,기부내용[대상자에게 직접 후원-현금주기] 코드 참고
기부내용[직장(기업)을 통한 후원-현금횟수],,
기부내용[직장(기업)을 통한 후원-현금금액],,
기부내용[직장(기업)을 통한 후원-현금주기],,기부내용[대상자에게 직접 후원-현금주기] 코드 참고
기부내용[기타-현금횟수],,
기부내용[기타-현금금액],,
기부내용[기타-현금주기],,기부내용[대상자에게 직접 후원-현금주기] 코드 참고
기부내용_물품횟수,,
기부내용_물품주기,,기부내용[대상자에게 직접 후원-현금주기] 코드 참고
기부 희망 분야[1순위],1,사회복지 분야
기부 희망 분야[1순위],2,의료 분야
기부 희망 분야[1순위],3,해외 구호 활동 분야
기부 희망 분야[1순위],4,지역사회 발전 분야(지역도서관 건립 등)
기부 희망 분야[1순위],5,공익 활동 분야(환경운동 등)
기부 희망 분야[1순위],6,교육 및 연구 활동 분야(학교 등)
기부 희망 분야[1순위],7,문화 및 예술 분야
기부 희망 분야[1순위],8,기타(    )
기부 희망 분야[2순위],,기부 희망 분야[1순위] 코드 참고
기부 희망 분야[3순위],,기부 희망 분야[1순위] 코드 참고
기부 문화 확산[1순위],1,사회 지도층과 부유층의 모범적 기부 확대
기부 문화 확산[1순위],2,"나눔 교육, 대중 캠페인 등을 통한 나눔에 대한 인식 개선"
기부 문화 확산[1순위],3,기부 단체의 자금 운영 투명성 강화
기부 문화 확산[1순위],4,소득공제 확대 등 정부 지원 강화
기부 문화 확산[1순위],5,기부 방법의 편리성 증대
기부 문화 확산[1순위],6,"경조금 기부, 유산 기부 등 다양한 기부 방법 홍보"
기부 문화 확산[1순위],7,기타(    )
기부 문화 확산[2순위],,기부 문화 확산[1순위] 코드 참고
기부 문화 확산[3순위],,기부 문화 확산[1순위] 코드 참고
향후 기부 의사,1,있다
향후 기부 의사,2,없다
유산 기부 의사,1,있다
유산 기부 의사,2,없다
자원봉사활동 여부,1,자원봉사 활동을 한 적이 있다
자원봉사활동 여부,2,자원봉사 활동을 한 적이 없다
"아동, 청소년, 노인, 장애인, 재소자 등과 관련-횟수",,
"아동, 청소년, 노인, 장애인, 재소자 등과 관련-시간",,
"아동, 청소년, 노인, 장애인, 재소자 등과 관련-주기",1,주 단위
"아동, 청소년, 노인, 장애인, 재소자 등과 관련-주기",2,월 단위
"아동, 청소년, 노인, 장애인, 재소자 등과 관련-주기",3,분기(3개월) 단위
"아동, 청소년, 노인, 장애인, 재소자 등과 관련-주기",4,반기(6개월) 단위
"아동, 청소년, 노인, 장애인, 재소자 등과 관련-주기",5,기타
"아동, 청소년, 노인, 장애인, 재소자 등과 관련-주기",6,주기적으로 하지 않았다
"환경 보전, 범죄 예방 등과 관련-횟수",,
"환경 보전, 범죄 예방 등과 관련-시간",,
"환경 보전, 범죄 예방 등과 관련-주기",,"아동, 청소년, 노인, 장애인, 재소자 등과 관련-주기 코드 참고"
자녀 교육 등과 관련-횟수,,
자녀 교육 등과 관련-시간,,
자녀 교육 등과 관련-주기,,"아동, 청소년, 노인, 장애인, 재소자 등과 관련-주기 코드 참고"
국가 및 지역 행사 등과 관련-횟수,,
국가 및 지역 행사 등과 관련-시간,,
국가 및 지역 행사 등과 관련-주기,,"아동, 청소년, 노인, 장애인, 재소자 등과 관련-주기 코드 참고"
재해 지역 주민 돕기 및 시설 복구 등과 관련-횟수,,
재해 지역 주민 돕기 및 시설 복구 등과 관련-시간,,
재해 지역 주민 돕기 및 시설 복구 등과 관련-주기,,"아동, 청소년, 노인, 장애인, 재소자 등과 관련-주기 코드 참고"
기타 일반인을 위한 봉사 관련-횟수,,
기타 일반인을 위한 봉사 관련-시간,,
