항목명,코드,코드의미 및 단위
기타 일반인을 위한 봉사 관련-주기,,"아동, 청소년, 노인, 장애인, 재소자 등과 관련-주기 코드 참고"
전문성을 활용한 자원봉사 활동 여부,1,있다
전문성을 활용한 자원봉사 활동 여부,2,없다
전문성을 활용한 자원봉사 활동,1,"이용, 미용"
전문성을 활용한 자원봉사 활동,2,요리
전문성을 활용한 자원봉사 활동,3,의료
전문성을 활용한 자원봉사 활동,4,아동 학습 지도
전문성을 활용한 자원봉사 활동,5,통역과 번역
전문성을 활용한 자원봉사 활동,6,공연
전문성을 활용한 자원봉사 활동,7,평생학습 관련
전문성을 활용한 자원봉사 활동,8,전문 상담
전문성을 활용한 자원봉사 활동,9,운전
전문성을 활용한 자원봉사 활동,10,주택 수리
전문성을 활용한 자원봉사 활동,11,기타
향후 자원봉사 활동 의사,1,있다
향후 자원봉사 활동 의사,2,없다
계층의식,11,상상
계층의식,12,상하
계층의식,21,중상
계층의식,22,중하
계층의식,31,하상
계층의식,32,하하
본인의 계층이동,1,매우 높다
본인의 계층이동,2,비교적 높다
본인의 계층이동,3,비교적 낮다
본인의 계층이동,4,매우 낮다
본인의 계층이동,5,모르겠다
자식세대의 계층이동,1,매우 높다
자식세대의 계층이동,2,비교적 높다
자식세대의 계층이동,3,비교적 낮다
자식세대의 계층이동,4,매우 낮다
자식세대의 계층이동,5,모르겠다
신문[일반신문] 본적있는지 여부,1,있다
신문[일반신문] 본적있는지 여부,2,없다
신문[일반신문]_보는 분야,1,정치
신문[일반신문]_보는 분야,2,사회
신문[일반신문]_보는 분야,3,경제 
신문[일반신문]_보는 분야,4,문화
신문[일반신문]_보는 분야,5,스포츠 및 연예
신문[일반신문]_보는 분야,6,기타
신문[인터넷신문] 본적있는지 여부,1,있다
신문[인터넷신문] 본적있는지 여부,2,없다
신문[인터넷신문]_보는 분야,,신문[일반신문]_보는 분야 코드 참고
독서여부,1,있다
독서여부,2,없다
"독서권수[잡지류(주간, 월간, 기타)]",,
"독서권수[교양서적(종교, 소설, 시집, 역사, 예술서적 등)]",,
독서권수[직업(직무)과 관련한 서적들)],,
"독서권수[생활·취미·정보서적(육아, 꽃꽃이, 등산, 낚시 서적 등)]",,
"독서권수[기타(만화, 무협지 등)]",,
문화 예술 및 스포츠 관람,1,있다
문화 예술 및 스포츠 관람,2,없다
관람횟수[음악·연주회·콘서트],,
관람횟수[연극·마당극·뮤지컬],,
관람횟수[무용],,
관람횟수[영화],,
관람횟수[박물관(유물 전시회 등 포함)],,
"관람횟수[미술관(공예, 서화, 전시회 포함)]",,
관람횟수[스포츠],,
관람횟수[기타],,
레저시설 이용 횟수,1,있다
레저시설 이용 횟수,2,없다
"이용횟수[관광명소(유적지, 국립공원 등)]",,
이용횟수[온천장 및 스파],,
이용횟수[골프장],,
이용횟수[스키장 및 스케이트장(눈썰매장 포함)],,
이용횟수[해수욕장],,
이용횟수[산림욕장(휴양림)],,
이용횟수[놀이공원],,
이용횟수[수영장(워터파크 포함)],,
이용횟수[기타],,
국내 관광여행 경험,1,있다
국내 관광여행 경험,2,없다
국내 관광여행[숙박여행 횟수],,
국내 관광여행[숙박여행 1회평균 일수],,
국내 관광여행[당일여행 횟수],,
해외여행 경험,1,있다
해외여행 경험,2,없다
해외여행 횟수[관광],,
해외여행 횟수[가사(가족·친지 방문 등)],,
해외여행 횟수[업무],,
해외여행 횟수[교육(어학연수 포함)],,
주중의 여가 활용[1순위],1,"TV시청(유선방송, IPTV, DVD(비디오) 시청 등)"
주중의 여가 활용[1순위],2,"문화 예술 관람(연극, 영화, 음악연주회, 미술전시회 등)"
주중의 여가 활용[1순위],3,"문화 예술 참여(독서 토론, 미술 활동, 악기 연주, 사진 촬영 등)"
주중의 여가 활용[1순위],4,스포츠 관람
주중의 여가 활용[1순위],5,"스포츠 활동(축구, 테니스, 골프, 당구, 체조, 승마 등)"
주중의 여가 활용[1순위],6,"관광(국내·해외 여행, 캠핑 등)"
주중의 여가 활용[1순위],7,"컴퓨터 게임, 인터넷 검색 등"
주중의 여가 활용[1순위],8,"취미·자기개발 활동(요리, 독서,기술·자격증 취득 공부 등)"
주중의 여가 활용[1순위],9,"휴식 활동(수면, 사우나 등)"
주중의 여가 활용[1순위],10,"사회 및 기타 활동(봉사 활동, 종교 활동, 사교 활동 등)"
주중의 여가 활용[1순위],11,기타(    )
주중의 여가 활용[2순위],,주중의 여가 활용[1순위] 코드 참고
주중의 여가 활용[3순위],,주중의 여가 활용[1순위] 코드 참고
주말(휴일포함)의 여가 활용[1순위],,주중의 여가 활용[1순위] 코드 참고
주말(휴일포함)의 여가 활용[2순위],,주중의 여가 활용[1순위] 코드 참고
주말(휴일포함)의 여가 활용[3순위],,주중의 여가 활용[1순위] 코드 참고
주중에 여가활동을 함께 하는 사람,1,가족과 함께
주중에 여가활동을 함께 하는 사람,2,친구(연인 포함)와 함께
주중에 여가활동을 함께 하는 사람,3,동호회(종교 단체 등 포함) 활동을 통해서
주중에 여가활동을 함께 하는 사람,4,혼자서
주중에 여가활동을 함께 하는 사람,5,직장 동료와 함께 
주중에 여가활동을 함께 하는 사람,6,기타(    )
주말(휴일포함)에 여가활동을 함께 하는 사람,,주중에 여가활동을 함께 하는 사람 코드 참고
여가 활용 만족도,1,매우 만족
여가 활용 만족도,2,약간 만족
여가 활용 만족도,3,보통
여가 활용 만족도,4,약간 불만족
여가 활용 만족도,5,매우 불만족
여가 활용 불만족 이유,1,경제적 부담 때문에
여가 활용 불만족 이유,2,시간이 부족해서
여가 활용 불만족 이유,3,교통 혼잡 및 이용 교통수단이 불편해서
여가 활용 불만족 이유,4,여가 시설이 부족해서
여가 활용 불만족 이유,5,여가 정보 및 프로그램이 부족해서
여가 활용 불만족 이유,6,적당한 취미가 없어서
여가 활용 불만족 이유,7,체력이나 건강이 좋지 않아서
여가 활용 불만족 이유,8,여가를 함께 즐길 사람이 없어서
여가 활용 불만족 이유,9,기타(   )
앞으로 하고 싶은 여가 활동[1순위],1,"TV시청(유선방송, IPTV, DVD(비디오) 시청 등)"
앞으로 하고 싶은 여가 활동[1순위],2,"문화 예술 관람(연극, 영화, 음악연주회, 미술전시회 등)"
앞으로 하고 싶은 여가 활동[1순위],3,"문화 예술 참여(독서 토론, 미술 활동, 악기 연주, 사진 촬영 등)"
앞으로 하고 싶은 여가 활동[1순위],4,스포츠 관람
앞으로 하고 싶은 여가 활동[1순위],5,스포츠 활동
앞으로 하고 싶은 여가 활동[1순위],6,"관광 활동(국내·해외 여행, 캠핑 등)"
앞으로 하고 싶은 여가 활동[1순위],7,"컴퓨터 게임, 인터넷 검색 등"
앞으로 하고 싶은 여가 활동[1순위],8,"취미, 자기개발 활동(요리, 독서,기술·자격증 취득 공부 등)"
앞으로 하고 싶은 여가 활동[1순위],9,"휴식(수면, 사우나 등)"
앞으로 하고 싶은 여가 활동[1순위],10,"사회 및 기타 활동(봉사 활동, 종교 활동, 사교 활동 등)"
앞으로 하고 싶은 여가 활동[1순위],11,기타(    )
앞으로 하고 싶은 여가 활동[2순위],,앞으로 하고 싶은 여가 활동[1순위] 코드 참고
앞으로 하고 싶은 여가 활동[3순위],,앞으로 하고 싶은 여가 활동[1순위] 코드 참고
주관적 소득수준,1,매우 여유 있다
주관적 소득수준,2,약간 여유 있다
주관적 소득수준,3,적정하다
주관적 소득수준,4,약간 부족하다
주관적 소득수준,5,매우 부족하다
소득의 변화,1,크게 증가
소득의 변화,2,약간 증가
소득의 변화,3,동일
소득의 변화,4,약간 감소
소득의 변화,5,크게 감소
부채의 변화,,소득의 변화 코드 참고
내년 가구의 재정 상태,1,매우 좋아질 것임
내년 가구의 재정 상태,2,약간 좋아질 것임
내년 가구의 재정 상태,3,변화 없을 것임
내년 가구의 재정 상태,4,약간 나빠질 것임
내년 가구의 재정 상태,5,매우 나빠질 것임
긴축 소비 지출 항목[1순위],1,식료품비
긴축 소비 지출 항목[1순위],2,외식비
긴축 소비 지출 항목[1순위],3,의료비
긴축 소비 지출 항목[1순위],4,교육비
긴축 소비 지출 항목[1순위],5,교통·통신비(차량 유지비 포함)
긴축 소비 지출 항목[1순위],6,문화·여가비
긴축 소비 지출 항목[1순위],7,보건·의료비
긴축 소비 지출 항목[1순위],8,연료비(전기·가스 등)
긴축 소비 지출 항목[1순위],9,경조사비
긴축 소비 지출 항목[1순위],10,기타(    )
긴축 소비 지출 항목[2순위],,긴축 소비 지출 항목[1순위] 코드 참고
긴축 소비 지출 항목[3순위],,긴축 소비 지출 항목[1순위] 코드 참고
현재 소득 여부,1,있다
현재 소득 여부,2,없다
소득 만족도,1,매우 만족
소득 만족도,2,약간 만족
소득 만족도,3,보통
소득 만족도,4,약간 불만족
소득 만족도,5,매우 불만족
소비생활 만족도,1,매우 만족
소비생활 만족도,2,약간 만족
소비생활 만족도,3,보통
소비생활 만족도,4,약간 불만족
소비생활 만족도,5,매우 불만족
직업 선택 요인[1순위],1,명예·명성
직업 선택 요인[1순위],2,안정성
직업 선택 요인[1순위],3,수입
직업 선택 요인[1순위],4,적성·흥미
직업 선택 요인[1순위],5,보람·자아 실현
직업 선택 요인[1순위],6,발전성·장래성
직업 선택 요인[1순위],7,근무시간
직업 선택 요인[1순위],8,기타(     )
직업 선택 요인[1순위],9,잘 모르겠다
직업 선택 요인[2순위],,직업 선택 요인[1순위] 코드 참고
직업 선택 요인[3순위],,직업 선택 요인[1순위] 코드 참고
청년이 선호하는 직장,1,국가기관
청년이 선호하는 직장,2,"공기업(공사, 공단)"
