항목명,코드,코드의미 및 단위
향후 늘려야 할 공공시설[2순위],9,기타(   )
항후 늘려야 할 공공시설[3순위],1,국공립 어린이집 및 유치원
항후 늘려야 할 공공시설[3순위],2,"공원, 녹지, 산책로"
항후 늘려야 할 공공시설[3순위],3,"보건의료시설(공공병원, 보건소 등)"
항후 늘려야 할 공공시설[3순위],4,사회복지시설(장애인·노인복지시설 등)
항후 늘려야 할 공공시설[3순위],5,공영주차시설
항후 늘려야 할 공공시설[3순위],6,문화예술회관(시민회관 등)
항후 늘려야 할 공공시설[3순위],7,도서관
항후 늘려야 할 공공시설[3순위],8,생활체육시설
항후 늘려야 할 공공시설[3순위],9,기타(   )
향후 늘려야 할 복지서비스[1순위],1,고용(취업) 지원 서비스
향후 늘려야 할 복지서비스[1순위],2,소득 지원 서비스
향후 늘려야 할 복지서비스[1순위],3,주거 관련 서비스
향후 늘려야 할 복지서비스[1순위],4,안전 관련 서비스
향후 늘려야 할 복지서비스[1순위],5,보건의료·건강관리 서비스
향후 늘려야 할 복지서비스[1순위],6,보육 관련 서비스
향후 늘려야 할 복지서비스[1순위],7,교육 관련 서비스
향후 늘려야 할 복지서비스[1순위],8,노인 돌봄 서비스
향후 늘려야 할 복지서비스[1순위],9,문화·여가 생활 지원 서비스
향후 늘려야 할 복지서비스[1순위],10,기타 (   )
향후 늘려야 할 복지서비스[2순위],1,고용(취업) 지원 서비스
향후 늘려야 할 복지서비스[2순위],2,소득 지원 서비스
향후 늘려야 할 복지서비스[2순위],3,주거 관련 서비스
향후 늘려야 할 복지서비스[2순위],4,안전 관련 서비스
향후 늘려야 할 복지서비스[2순위],5,보건의료·건강관리 서비스
향후 늘려야 할 복지서비스[2순위],6,보육 관련 서비스
향후 늘려야 할 복지서비스[2순위],7,교육 관련 서비스
향후 늘려야 할 복지서비스[2순위],8,노인 돌봄 서비스
향후 늘려야 할 복지서비스[2순위],9,문화·여가 생활 지원 서비스
향후 늘려야 할 복지서비스[2순위],10,기타 (   )
향후 늘려야 할 복지서비스[3순위],1,고용(취업) 지원 서비스
