항목명,코드,코드의미 및 단위
주관적만족감코드,1,매우만족
주관적만족감코드,2,약간만족
주관적만족감코드,3,보통
주관적만족감코드,4,약간불만족
주관적만족감코드,5,매우불만족
성취만족도코드,1,매우만족
성취만족도코드,2,약간만족
성취만족도코드,3,보통
성취만족도코드,4,약간불만족
성취만족도코드,5,매우불만족
활동제약상태(안경을써도보는데어려움)_어려움정도코드,1,전혀 어렵지 않다
활동제약상태(안경을써도보는데어려움)_어려움정도코드,2,약간 어렵다
활동제약상태(안경을써도보는데어려움)_어려움정도코드,3,상당히 어렵다
활동제약상태(안경을써도보는데어려움)_어려움정도코드,4,전혀 할 수 없다
활동제약상태(보청기를사용해도듣는데어려움)_어려움정도코드,1,전혀 어렵지 않다
활동제약상태(보청기를사용해도듣는데어려움)_어려움정도코드,2,약간 어렵다
활동제약상태(보청기를사용해도듣는데어려움)_어려움정도코드,3,상당히 어렵다
활동제약상태(보청기를사용해도듣는데어려움)_어려움정도코드,4,전혀 할 수 없다
활동제약상태(계단을오르는데어려움)_어려움정도코드,1,전혀 어렵지 않다
활동제약상태(계단을오르는데어려움)_어려움정도코드,2,약간 어렵다
활동제약상태(계단을오르는데어려움)_어려움정도코드,3,상당히 어렵다
활동제약상태(계단을오르는데어려움)_어려움정도코드,4,전혀 할 수 없다
활동제약상태(기억하거나집중하는데어려움)_어려움정도코드,1,전혀 어렵지 않다
활동제약상태(기억하거나집중하는데어려움)_어려움정도코드,2,약간 어렵다
활동제약상태(기억하거나집중하는데어려움)_어려움정도코드,3,상당히 어렵다
활동제약상태(기억하거나집중하는데어려움)_어려움정도코드,4,전혀 할 수 없다
활동제약상태(스스로자기관리활동을하는데어려움)_어려움정도코드,1,전혀 어렵지 않다
활동제약상태(스스로자기관리활동을하는데어려움)_어려움정도코드,2,약간 어렵다
활동제약상태(스스로자기관리활동을하는데어려움)_어려움정도코드,3,상당히 어렵다
활동제약상태(스스로자기관리활동을하는데어려움)_어려움정도코드,4,전혀 할 수 없다
활동제약상태(일상생활에서말을하거나듣고이해하는데어려움)_어려움정도코드,1,전혀 어렵지 않다
활동제약상태(일상생활에서말을하거나듣고이해하는데어려움)_어려움정도코드,2,약간 어렵다
활동제약상태(일상생활에서말을하거나듣고이해하는데어려움)_어려움정도코드,3,상당히 어렵다
활동제약상태(일상생활에서말을하거나듣고이해하는데어려움)_어려움정도코드,4,전혀 할 수 없다
활동제약상태(안경을써도보는데어려움)_지속예상기간코드,1,6개월 미만
활동제약상태(안경을써도보는데어려움)_지속예상기간코드,2,6개월 이상
활동제약상태(보청기를사용해도듣는데어려움)_지속예상기간코드,1,6개월 미만
활동제약상태(보청기를사용해도듣는데어려움)_지속예상기간코드,2,6개월 이상
활동제약상태(계단을오르는데어려움)_지속예상기간코드,1,6개월 미만
활동제약상태(계단을오르는데어려움)_지속예상기간코드,2,6개월 이상
활동제약상태(기억하거나집중하는데어려움)_지속예상기간코드,1,6개월 미만
활동제약상태(기억하거나집중하는데어려움)_지속예상기간코드,2,6개월 이상
활동제약상태(스스로자기관리활동을하는데어려움)_지속예상기간코드,1,6개월 미만
활동제약상태(스스로자기관리활동을하는데어려움)_지속예상기간코드,2,6개월 이상
활동제약상태(일상생활에서말을하거나듣고이해하는데어려움)_지속예상기간코드,1,6개월 미만
활동제약상태(일상생활에서말을하거나듣고이해하는데어려움)_지속예상기간코드,2,6개월 이상
생활여건변화_전반적생활여건코드,1,매우 좋아짐
생활여건변화_전반적생활여건코드,2,약간 좋아짐
생활여건변화_전반적생활여건코드,3,변화 없음
생활여건변화_전반적생활여건코드,4,약간 나빠짐
생활여건변화_전반적생활여건코드,5,매우 나빠짐
생활여건변화_보건의료서비스코드,1,매우 좋아짐
생활여건변화_보건의료서비스코드,2,약간 좋아짐
생활여건변화_보건의료서비스코드,3,변화 없음
생활여건변화_보건의료서비스코드,4,약간 나빠짐
생활여건변화_보건의료서비스코드,5,매우 나빠짐
생활여건변화_사회보장제도코드,1,매우 좋아짐
생활여건변화_사회보장제도코드,2,약간 좋아짐
생활여건변화_사회보장제도코드,3,변화 없음
생활여건변화_사회보장제도코드,4,약간 나빠짐
생활여건변화_사회보장제도코드,5,매우 나빠짐
생활여건변화_문화여가생활여건코드,1,매우 좋아짐
생활여건변화_문화여가생활여건코드,2,약간 좋아짐
생활여건변화_문화여가생활여건코드,3,변화 없음
생활여건변화_문화여가생활여건코드,4,약간 나빠짐
생활여건변화_문화여가생활여건코드,5,매우 나빠짐
사회보험료부담인식_건강보험납부여부,1,납부한다
사회보험료부담인식_건강보험납부여부,2,납부하지 않는다
사회보험료부담인식_건강보험부담정도코드,1,매우 부담된다
사회보험료부담인식_건강보험부담정도코드,2,약간 부담된다
사회보험료부담인식_건강보험부담정도코드,3,보통이다
사회보험료부담인식_건강보험부담정도코드,4,별로 부담되지 않는다
사회보험료부담인식_건강보험부담정도코드,5,전혀 부담되지 않는다
사회보험료부담인식_국민연금납부여부,1,납부한다
사회보험료부담인식_국민연금납부여부,2,납부하지 않는다
