원본컬럼(df1),매칭컬럼(df2),유사도
장애인복지카드_소유여부,장애인복지카드_소유여부,100.0000
장애인유대관계대상_1순위코드,장애인유대관계대상_1순위,92.8571
장애인유대관계대상_2순위코드,장애인유대관계대상_2순위,92.8571
장애인유대관계대상_3순위코드,장애인유대관계대상_3순위,92.8571
장애인유대관계여부,장애인유대관계여부,100.0000
재택근무_비효율사유_1순위코드,재택근무_비효율사유_1순위,93.3333
재택근무_비효율사유_2순위코드,재택근무_비효율사유_2순위,93.3333
재택근무_비효율사유_3순위코드,재택근무_비효율사유_3순위,93.3333
재택근무_코로나관련여부,재택근무_코로나관련여부,100.0000
재택근무_효율성여부,재택근무_효율성여부,100.0000
재택근무여부,재택근무여부,100.0000
재학상태코드,재학상태,80.0000
재학학년코드,재학학년,80.0000
전문성활용자원봉사활동_구분코드,전문성활용자원봉사활동_구분,93.3333
전문성활용자원봉사활동_내용코드,전문성활용자원봉사활동_내용,93.3333
전문성활용자원봉사활동_참석여부,전문성활용자원봉사활동_참석여부,100.0000
전반적일자리만족도코드,전반적일자리만족도,90.0000
점유형태코드,점유형태,80.0000
정기기부_물품기부_주기코드,정기기부_물품기부_주기,92.3077
정기기부_물품기부여부,정기기부_물품기부여부,100.0000
정기기부_물품기부주기코드,정기기부_물품기부주기,91.6667
정기기부_현금기부_주기코드,정기기부_현금기부_주기,92.3077
정기기부_현금기부여부,정기기부_현금기부여부,100.0000
정기기부_현금기부주기코드,정기기부_현금기부주기,91.6667
종사상지위코드,종사상지위,83.3333
주관적만족감_불만족사유_코로나관련여부,주관적만족감_불만족사유_코로나관련여부,100.0000
주관적만족감코드,주관적만족감,85.7143
주관적소득수준코드,주관적소득수준,87.5000
주말여가활동_동반자코드,주말여가활동_동반자,90.9091
주말휴일여가활용_1순위코드,주말휴일여가활용_1순위,92.3077
주말휴일여가활용_2순위코드,주말휴일여가활용_2순위,92.3077
주말휴일여가활용_3순위코드,주말휴일여가활용_3순위,92.3077
주중여가활동_동반자코드,주중여가활동_동반자,90.9091
주중여가활용_1순위코드,주중여가활용_1순위,90.9091
주중여가활용_2순위코드,주중여가활용_2순위,90.9091
주중여가활용_3순위코드,주중여가활용_3순위,90.9091
지난1주간경제활동_비경제활동사유_코로나관련여부,지난1주간경제활동_비경제활동사유_코로나관련여부,100.0000
지난1주간경제활동여부,지난1주간경제활동여부,100.0000
직업대분류코드,직업대분류,83.3333
직업선택요인_1순위코드,직업선택요인_1순위,90.9091
직업선택요인_2순위코드,직업선택요인_2순위,90.9091
직업선택요인_3순위코드,직업선택요인_3순위,90.9091
직장산업대분류코드,직장산업대분류,87.5000
참여단체_1순위코드,참여단체_1순위,88.8889
참여단체_2순위코드,참여단체_2순위,88.8889
참여단체_3순위코드,참여단체_3순위,88.8889
청년선호직장코드,청년선호직장,85.7143
코로나19일상생활(방역및위생활동강화)_변화견해코드,코로나19일상생활(방역및위생활동강화)_변화견해,96.1538
코로나19일상생활(방역및위생활동강화)_변화지속가능성견해코드,코로나19일상생활(방역및위생활동강화)_변화지속가능성견해,96.7742
코로나19일상생활(배달및배송을통한소비활동증가)_변화견해코드,코로나19일상생활(배달및배송을통한소비활동증가)_변화견해,96.7742
코로나19일상생활(배달및배송을통한소비활동증가)_변화지속가능성견해코드,코로나19일상생활(배달및배송을통한소비활동증가)_변화지속가능성견해,97.2222
코로나19일상생활(여가및취미생활문화발달)_변화견해코드,코로나19일상생활(여가및취미생활문화발달)_변화견해,96.4286
코로나19일상생활(여가및취미생활문화발달)_변화지속가능성견해코드,코로나19일상생활(여가및취미생활문화발달)_변화지속가능성견해,96.9697
코로나19일상생활(온라인학습확산)_변화견해코드,코로나19일상생활(온라인학습확산)_변화견해,95.8333
코로나19일상생활(온라인학습확산)_변화지속가능성견해코드,코로나19일상생활(온라인학습확산)_변화지속가능성견해,96.5517
코로나19일상생활(유연근무제확산)_변화견해코드,코로나19일상생활(유연근무제확산)_변화견해,95.8333
코로나19일상생활(유연근무제확산)_변화지속가능성견해코드,코로나19일상생활(유연근무제확산)_변화지속가능성견해,96.5517
코로나19일상생활(직장단체회식감소)_변화견해코드,코로나19일상생활(직장단체회식감소)_변화견해,96.0000
코로나19일상생활(직장단체회식감소)_변화지속가능성견해코드,코로나19일상생활(직장단체회식감소)_변화지속가능성견해,96.6667
코로나19일상생활(친목및사교목적모임감소)_변화견해코드,코로나19일상생활(친목및사교목적모임감소)_변화견해,96.4286
코로나19일상생활(친목및사교목적모임감소)_변화지속가능성견해코드,코로나19일상생활(친목및사교목적모임감소)_변화지속가능성견해,96.9697
타인방역수칙준수코드,타인방역수칙준수,88.8889
표본층번호,표본층번호,100.0000
해외여행경험_가족친지관련횟수,해외여행경험_가족친지관련횟수,100.0000
해외여행경험_관광횟수,해외여행경험_관광횟수,100.0000
해외여행경험_교육횟수,해외여행경험_교육횟수,100.0000
해외여행경험_미경험사유_코로나관련여부,해외여행경험_미경험사유_코로나관련여부,100.0000
해외여행경험_업무횟수,해외여행경험_업무횟수,100.0000
해외여행경험여부,해외여행경험여부,100.0000
행정구역시도코드,행정구역시도,85.7143
향후기부의사여부,향후기부의사여부,100.0000
향후자녀동거의향여부,향후자녀동거의향여부,100.0000
향후자원봉사활동의사여부,향후자원봉사활동의사여부,100.0000
향후추가대상공공시설_1순위코드,향후추가대상공공시설_1순위,93.3333
향후추가대상공공시설_2순위코드,향후추가대상공공시설_2순위,93.3333
향후추가대상공공시설_3순위코드,향후추가대상공공시설_3순위,93.3333
향후추가대상복지서비스_1순위코드,향후추가대상복지서비스_1순위,93.7500
향후추가대상복지서비스_2순위코드,향후추가대상복지서비스_2순위,93.7500
향후추가대상복지서비스_3순위코드,향후추가대상복지서비스_3순위,93.7500
향후희망거처코드,향후희망거처,85.7143
향후희망여가활동_1순위코드,향후희망여가활동_1순위,92.3077
향후희망여가활동_2순위코드,향후희망여가활동_2순위,92.3077
향후희망여가활동_3순위코드,향후희망여가활동_3순위,92.3077
현재소득여부,현재소득여부,100.0000
현재자녀동거사유_1순위코드,현재자녀동거사유_1순위,92.3077
현재자녀동거사유_2순위코드,현재자녀동거사유_2순위,92.3077
현재자녀동거사유_3순위코드,현재자녀동거사유_3순위,92.3077
현재자녀동거여부,현재자녀동거여부,100.0000
현재자녀비동거사유_1순위코드,현재자녀비동거사유_1순위,92.8571
현재자녀비동거사유_2순위코드,현재자녀비동거사유_2순위,92.8571
현재자녀비동거사유_3순위코드,현재자녀비동거사유_3순위,92.8571
혼인상태코드,혼인상태,80.0000
혼인신고여부,혼인신고여부,100.0000
활동제약상태(계단을오르는데어려움)_어려움정도코드,활동제약상태(계단을오르는데어려움)_어려움정도,96.0000
활동제약상태(계단을오르는데어려움)_지속예상기간코드,활동제약상태(계단을오르는데어려움)_지속예상기간,96.1538
활동제약상태(기억하거나집중하는데어려움)_어려움정도코드,활동제약상태(기억하거나집중하는데어려움)_어려움정도,96.4286
활동제약상태(기억하거나집중하는데어려움)_지속예상기간코드,활동제약상태(기억하거나집중하는데어려움)_지속예상기간,96.5517
활동제약상태(보청기를사용해도듣는데어려움)_어려움정도코드,활동제약상태(보청기를사용해도듣는데어려움)_어려움정도,96.5517
활동제약상태(보청기를사용해도듣는데어려움)_지속예상기간코드,활동제약상태(보청기를사용해도듣는데어려움)_지속예상기간,96.6667
활동제약상태(스스로자기관리활동을하는데어려움)_어려움정도코드,활동제약상태(스스로자기관리활동을하는데어려움)_어려움정도,96.7742
활동제약상태(스스로자기관리활동을하는데어려움)_지속예상기간코드,활동제약상태(스스로자기관리활동을하는데어려움)_지속예상기간,96.8750
활동제약상태(안경을써도보는데어려움)_어려움정도코드,활동제약상태(안경을써도보는데어려움)_어려움정도,96.1538
활동제약상태(안경을써도보는데어려움)_지속예상기간코드,활동제약상태(안경을써도보는데어려움)_지속예상기간,96.2963
활동제약상태(일상생활에서말을하거나듣고이해하는데어려움)_어려움정도코드,활동제약상태(일상생활에서말을하거나듣고이해하는데어려움)_어려움정도,97.2222
활동제약상태(일상생활에서말을하거나듣고이해하는데어려움)_지속예상기간코드,활동제약상태(일상생활에서말을하거나듣고이해하는데어려움)_지속예상기간,97.2973
