원본컬럼(df1),매칭컬럼(df2),유사도
단체참여_지역사회모임여부,단체참여_지역사회모임여부,100.0000
단체참여_취미스포츠여가활동단체_코로나관련여부,단체참여_취미스포츠여가활동단체_코로나관련여부,100.0000
단체참여_취미스포츠여가활동단체여부,단체참여_취미스포츠여가활동단체여부,100.0000
단체참여_친목사교단체_코로나관련여부,단체참여_친목사교단체_코로나관련여부,100.0000
단체참여_친목사교단체여부,단체참여_친목사교단체여부,100.0000
단체참여_학술단체_코로나관련여부,단체참여_학술단체_코로나관련여부,100.0000
단체참여_학술단체여부,단체참여_학술단체여부,100.0000
단체참여여부,단체참여여부,100.0000
독서_교양서적_전자책권수,독서_교양서적_전자책권수,100.0000
독서_교양서적_종이책권수,독서_교양서적_종이책권수,100.0000
독서_교양서적권수,독서_교양서적권수,100.0000
독서_기타_오디오북권수,독서_기타_오디오북권수,100.0000
독서_기타_전자책권수,독서_기타_전자책권수,100.0000
독서_기타_종이책권수,독서_기타_종이책권수,100.0000
독서_기타권수,독서_기타권수,100.0000
독서_생활취미정보서적_오디오북권수,독서_생활취미정보서적_오디오북권수,100.0000
독서_생활취미정보서적_전자책권수,독서_생활취미정보서적_전자책권수,100.0000
독서_생활취미정보서적_종이책권수,독서_생활취미정보서적_종이책권수,100.0000
독서_생활취미정보서적권수,독서_생활취미정보서적권수,100.0000
독서_오디오북_교양서적권수,독서_오디오북_교양서적권수,100.0000
독서_잡지류_오디오북권수,독서_잡지류_오디오북권수,100.0000
독서_잡지류_전자책권수,독서_잡지류_전자책권수,100.0000
독서_잡지류_종이책권수,독서_잡지류_종이책권수,100.0000
독서_잡지류권수,독서_잡지류권수,100.0000
독서_직업직무관련서적_오디오북권수,독서_직업직무관련서적_오디오북권수,100.0000
독서_직업직무관련서적_전자책권수,독서_직업직무관련서적_전자책권수,100.0000
독서_직업직무관련서적_종이책권수,독서_직업직무관련서적_종이책권수,100.0000
독서_직업직무관련서적권수,독서_직업직무관련서적권수,100.0000
독서여부,독서여부,100.0000
레저시설_골프장이용횟수,레저시설_골프장이용횟수,100.0000
레저시설_관광명소유적지국립공원이용횟수,레저시설_관광명소유적지국립공원이용횟수,100.0000
레저시설_기타이용횟수,레저시설_기타이용횟수,100.0000
레저시설_놀이공원이용횟수,레저시설_놀이공원이용횟수,100.0000
레저시설_산림욕장휴양림이용횟수,레저시설_산림욕장휴양림이용횟수,100.0000
레저시설_수영장워터파크포함이용횟수,레저시설_수영장워터파크포함이용횟수,100.0000
레저시설_스키장스케이트장이용횟수,레저시설_스키장스케이트장이용횟수,100.0000
레저시설_스키장이용횟수,레저시설_스키장이용횟수,100.0000
레저시설_온천장스파이용횟수,레저시설_온천장스파이용횟수,100.0000
레저시설_이용여부코드,레저시설_이용여부,90.0000
레저시설_해수욕장이용횟수,레저시설_해수욕장이용횟수,100.0000
레저시설이용횟수,레저시설이용횟수,100.0000
만연령,만연령,100.0000
문화예술스포츠관람_기타횟수,문화예술스포츠관람_기타횟수,100.0000
문화예술스포츠관람_무용_온라인횟수,문화예술스포츠관람_무용_온라인횟수,100.0000
문화예술스포츠관람_무용횟수,문화예술스포츠관람_무용횟수,100.0000
문화예술스포츠관람_문학행사(시화전도서전시회)_관람횟수,문화예술스포츠관람_문학행사(시화전도서전시회)_관람횟수,100.0000
문화예술스포츠관람_미술관_온라인횟수,문화예술스포츠관람_미술관_온라인횟수,100.0000
